DetailedPOS_N-Gram,Frequency
DTC NNP LM VBTS CCB,40
CCP NNC DTP NNP,40
NNP CCA DTC NNC,40
CCT JJD CCP NNC CCT,40
CCB JJD_CCP NNC CCB NNC,40
CCP DTP NNP NNP DTC,40
DTC DTCP JJD CCP NNC,40
CCB PRI_CCP JJD,40
NNP LM VBTF CCT,40
DTCP NNC CCB NNPA,40
CCT DTCP JJD CCP NNC,40
LM VBTS CCT DTCP,40
VBTS_CCP NNC_PMC,40
CCB NNPA CCP DTP,40
NNC_CCP JJD_PMP,40
CCP NNC CCB NNC_PMP,40
NNC DTC VBTS CCB,40
DTC JJD_CCP NNP,40
NNC CCB NNP CCT NNC CCB,40
DTC NNC CCB NNP CCB,40
JJN_CCP JJD_CCP NNC,40
NNC_CCP NNC CCB NNP,40
DTCP NNC CCP VBAF,40
DTCP NNC LM VBTS CCT,39
CCB NNC CCB NNP LM,39
VBW DTC PRSP_CCP,39
VBTR CCP DTC DTCP,39
RBW_CCP JJN PMS CDB CCB NNP,39
DTCP NNC RBW_CCP,39
CDB CCP NNC_PMC,39
PRQ_CCP NNC CCB,39
CCB NNP NNP CCP DTP NNP NNP,39
NNP RBW_CCP CDB,39
NNC CCA VBTS CCB,39
NNC CCB DTCP NNC LM,39
DTCP NNC CCP VBTS CCT,39
CCA DTCP NNC CCT,39
NNC CCP DTP NNP NNP_PMC,39
RBI_CCP NNC CCB,39
CCP DTC JJD_CCP NNC,39
JJD_CCP NNC CCB NNP NNP,39
DTCP NNC CCT PRI_CCP,39
CCB JJN CCP NNC,39
NNC CCP VBTR CCB NNC,39
CCB NNC CCT JJD_CCP,39
RBI CCT NNC CCB,39
CCB NNP CCB NNP CCP DTP NNP,39
CCT PRI_CCP NNC CCT NNC,39
CCB JJD_CCP NNC CCT NNC,39
CCT PRI_CCP NNC CCB NNC,39
CCP DTC NNC LM VBTS,39
DTC NNC CCB FW,39
CCB JJN_CCP NNC CCP,39
JJD CCP NNC DTC,39
DTCP JJD_CCP NNC LM,39
DTCP NNC CCP JJD,39
VBW CCB JJD_CCP NNC,39
CCT JJD_CCP NNC CCP,39
DTC NNC CCP VBTS,39
NNC LM VBTS PMS,39
JJN PMS CDB CCP,39
DTC PRSP_CCP NNC CCA,38
DTCP NNC_CCP VBTS,38
DTC NNC CCT NNC CCB NNC,38
CCP PRO LM VBTS,38
NNC CCB NNP PMS,38
LM VBOF DTC NNC,38
PRSP_CCP NNC CCT NNP,38
NNP NNP CCP DTP NNP NNP LM,38
NNC RBW_CCP JJN,38
CCT NNC CCP VBH,38
CCB NNP CCP VBTS,38
RBI_CCP DTCP NNC,38
NNC CCB FW CCT,38
NNC CCB JJD_CCP NNC CCT,38
CCT NNC CCT PRI_CCP,38
PRI_CCP NNC RBW_CCP,38
LM VBTS CCT PRI_CCP NNC,38
CCT PRI_CCP FW,38
PRSP_CCP NNC CCT NNC CCB,38
LM RBD_CCP VBTS,38
DTC JJD_CCP NNC CCB NNP,38
NNC RBW_CCP CDB,38
CCT JJD_CCP NNC CCB NNC,38
RBF JJD_CCP NNC,38
CCT JJD_CCP NNC CCB NNP,38
NNP CCP VBTS CCB,38
CCT NNC_CCP NNP,37
RBR CCT NNC CCB NNC,37
DTC JJN_CCP NNC LM,37
NNP NNP LM VBAF CCT,37
RBR CCT PRSP_CCP,37
NNC CCB NNP RBW_CCP,37
PRI_CCP NNC CCB DTCP,37
PMS_ PRO LM,37
NNC CCB NNC CCB NNP_PMC,37
CCB CDB NNC_CCP,37
JJD_CCP NNC_PMP_PMS,37
CCT VBW CCB NNC,37
NNC DTC VBTS CCA,37
CCP DTP NNP NNP LM VBTS CCP,37
NNP CCT JJN_CCP,37
CCT JJN_CCP NNC CCP,37
CCB NNP LM VBTR,37
JJD_CCP NNC CCB NNC_PMC,37
VBTS DTP NNP CCP DTC,37
JJN_CCP NNC DTC VBTS,37
VBOF DTC PRSP_CCP NNC,37
DTC NNC CCB NNP CCT,37
CCT NNC CCB CCR,37
CCT JJD CCB NNC CCB,37
DTC JJD CCP NNC LM,37
CCB PRI_CCP JJD CCP,37
NNC LM PRI_CCP,37
NNC CCP VBW CCB,37
CCP VBTS CCB NNP,37
NNC CCP PRO_PMC,37
VBTS CCP DTC NNC CCB,36
CCB NNC CCP VBTR CCB,36
CCB NNC CCP VBTS CCT,36
VBTF CCB NNC CCT,36
PMS NNC CCB DTCP,36
NNC CCB DTCP NNC CCB NNP,36
CCP DTP NNP NNP CCA,36
CCT NNC CCB NNC LM,36
VBTR DTC NNC CCB,36
VBTS CCT NNP CCB,36
CDB CCP NNC CCA,36
LM VBAF CCT NNP,36
PRQ_CCP NNC CCT,36
CCT VBTS_CCP NNC,36
DTC NNC CCB PRI_CCP,36
CCB PRI RBI_CCP,36
DTCP NNC RBR CCT,36
DTCP NNC DTP NNP,36
NNP DTC PRSP_CCP NNC,36
CCT NNC CCP PRO,36
DTP NNP NNP CCT NNC,36
CCP CCR PMS NNC,36
CCB DTCP NNC CCP DTC,36
RBR CCT NNC CCP,36
VBTS_CCP NNC_PMP,36
NNC CCT NNP NNP_PMP,36
NNC CCB PRQ_CCP,36
NNP CCP DTP NNP NNP_PMP,36
LM VBTS PMS NNC CCP,36
NNC CCB NNC CCT PRI_CCP,36
PRS LM VBTS CCT,36
CCA VBOF DTC NNC,36
CDB CCP NNC DTC,36
LM VBTS DTP NNP,36
CCB NNC LM VBAF,36
DTC PRI_CCP NNC CCT,36
CCB DTCP NNC CCT NNP,36
CCT NNC CCB NNP NNP NNP,36
DTC NNC_CCP PRO LM,36
JJD_CCP NNC CCB NNC CCP,36
CCB NNP LM VBTS CCP,36
VBTS CCT JJN_CCP,36
DTCP NNC CCB NNP CCP,36
JJD CCP VBTS CCT,35
RBW_CCP NNP CDB_PMP,35
NNC CCB NNC CCB NNP CCP,35
NNC CCB NNP NNP CCA,35
NNC CCT VBW CCB,35
NNC CCT NNC CCB NNC_PMC,35
DTC NNC CCB JJD,35
NNC CCT JJN_CCP NNC,35
VBOF DTC NNC CCP,35
DTC NNP CCB NNP LM,35
LM VBTF CCB NNC,35
JJD CCB NNC_PMP,35
VBOF DTC PRI_CCP,35
NNC CCB NNC LM VBTR,35
CCB NNC LM VBTS CCT,35
DTCP NNC_CCP VBTR,35
LM VBTS CCB PRI_CCP NNC,35
PRI_CCP NNC CCB NNC CCT,35
CCB PRI_CCP NNC_CCP,35
CCB NNPA CCP DTP NNP,35
VBW CCB NNC_PMC,35
JJD_CCP PMS NNC,35
DTC PRI_CCP DTCP,35
PRO LM PRI_CCP,35
VBTS CCP DTC NNC LM,35
PMS NNC CCT NNC CCB,35
JJD CCT DTCP NNC,35
CCB NNC LM RBF,35
CCP DTCP NNC_PMP,35
CCP NNC_PMP_PMS,35
CCT NNP_CCP NNP CCB,35
PMS NNC CCP DTC,35
NNC LM VBTS CCP DTC,35
PMS NNC CCT DTCP,35
DTC PRI_CCP NNC_CCP,35
JJD CCP NNC CCT CCT,35
VBTS CCT NNC_PMC,35
CCA DTC JJD_CCP,35
PRS LM VBTS CCB,35
DTC VBTS_CCP NNC,35
NNC CCB DTCP NNC CCT NNC,35
DTC RBW_CCP NNC,35
VBW CCT DTCP NNC,35
LM VBTS CCT NNC CCP,35
NNC CCB NNC CCA VBTS,35
RBW_CCP NNC_PMP,35
NNPA CCP DTP NNP NNP,35
VBAF CCT NNC_PMP,35
DTC NNC CCT NNC LM,35
NNC CCP DTC NNC CCB,35
DTC PRI_CCP NNC LM,35
CCB JJCC JJD_CCP,35
CCB NNP CCT NNP_PMC,34
JJD_CCP NNC CCT DTCP,34
CCP DTCP NNC CCA,34
JJD_CCP NNC CCB DTCP NNC,34
JJD CCB DTCP NNC,34
RBW DTC NNC CCB,34
DTCP NNC CCT NNC CCB NNC,34
NNP DTC DTCP NNC,34
VBTS RBI PRS CCP,34
JJD_CCP NNC RBW_CCP,34
DTCP NNC CCB NNP_PMC,34
JJD CCT PRSP_CCP,34
CCP NNC CCT NNC_PMP,34
LM VBTR CCB DTCP,34
CCT PRI_CCP JJD_CCP NNC,34
CCB NNP NNP LM VBTS,34
NNC LM RBM VBW,34
NNC CCA PRI_CCP,34
NNP DTC VBTS CCT,34
NNC CCP PRO_PMP,34
CCB DTCP NNP CCT,34
CCB PRI_CCP NNC_PMP,34
CCT VBW DTC NNC,34
DTCP JJN_CCP NNC,34
NNC LM VBTR CCP DTC,34
DTC NNC CCB NNC_PMC,34
CCB NNC CCT NNC CCB NNP,34
CCB NNC CCT NNP_PMC,34
NNC LM JJD CCP,34
DTC NNC CCB NNC_PMP,34
JJN_CCP DTCP NNC,34
VBOF CCT NNC CCB,34
NNC CCB DTCP JJD,34
VBW CCB JJD CCP,34
PMS JJN_CCP NNC,34
NNC CCT NNC CCB NNP NNP,34
NNP CCT NNC_CCP,34
CCT PRI_CCP JJD CCP NNC,34
CCB NNC DTC DTCP,34
DTC DTCP VBTR_VBAF,34
NNP LM VBTS CCB NNC CCT,34
VBTR_VBAF CCP NNC,34
DTC NNC CCB NNC CCT NNC,34
VBTR_CCP NNC CCT,34
RBK RBQ DTC DTCP,34
CCR DTC NNC LM,33
NNC CCP DTC DTCP NNC,33
RBW CCT PRSP_CCP,33
RBF VBTF CCT CDB,33
NNC CCA JJD CCP,33
DTC NNC CCB DTCP NNC CCB,33
CCB NNC LM VBTS CCB,33
CCT NNC CCB DTCP NNC CCT,33
CCT NNC CCA NNC CCB,33
PRI_CCP JJD_CCP NNC CCP,33
DTC NNC CCB NNP LM VBTS,33
LM VBTS PMS NNC CCT,33
NNC CCT CCT JJD_CCP,33
NNC CCP VBOF CCB,33
DTCP NNC CCT NNC_PMC,33
NNC CCA VBTS DTC,33
NNC_CCP JJD CCB NNP,33
NNC CCP VBH NNC CCT,33
VBTS CCT NNP_PMC,33
CCB NNC CCP VBAF,33
DTC NNP NNP LM VBTS,33
NNP CCP DTC NNC LM,33
VBOF DTC NNC CCT NNC,33
CCT DTCP NNC CCB DTCP,33
NNC CCT PRI_CCP NNC CCB,33
CCT NNC CCP VBTR,33
LM VBTS CCT JJD,33
RBW_CCP NNC_PMC,33
LM VBTS CCB NNC CCP,33
CCT NNC CCA VBTS,33
VBTS DTP NNP_PMC,33
CCA NNC CCB DTCP,33
CCB NNC CCT PRSP_CCP,33
PMS JJD CCP NNC,33
VBW CCT PRSP_CCP,33
NNC CCA JJD_CCP NNC,33
CCA CCT NNC CCB,33
PRI_CCP NNC RBL,33
NNC DTP NNP CCA,33
CCA NNC CCB NNP,33
RBL CCT PRI_CCP,33
NNC RBR CCT NNC CCB,33
JJN_CCP NNC LM VBTS,33
LM VBTS CCT PRSP_CCP,33
DTC DTCP NNC RBL,33
VBW DTC JJD_CCP,33
VBTS CCT JJD_CCP NNC,33
CCR PMS NNC CCB NNC,33
DTC PRSP_CCP NNC_PMP,33
NNC CCP VBTS PMS,33
CCP VBTR CCT NNC CCB,32
CCT PRI CCB NNC,32
CCA DTC NNC LM,32
VBOF DTC NNC_PMP,32
JJD_CCP NNP CCB,32
VBTR CCB PRI_CCP,32
NNP CCP VBAF CCT,32
JJD_CCP NNC DTP,32
NNC CCT NNC DTP NNP,32
CCP DTC DTCP NNC CCB,32
NNP LM VBTS RBW_CCP,32
NNP NNP LM VBTS DTC,32
VBTF CCT PRI_CCP,32
VBTS DTC PRSP_CCP NNC,32
JJD CCB NNC CCT,32
CCT CCT JJD_CCP NNC,32
JJN CCP NNC CCT,32
NNC LM VBTS_PMC,32
VBTR CCB DTCP NNC CCP,32
DTC NNC CCP DTP,32
NNC CCP DTP NNP NNP LM VBTS,32
LM JJD_CCP NNC,32
NNP LM VBTS NNC,32
VBTR_VBAF CCT NNC CCB,32
NNC_CCP RBI_CCP PMS,32
CCP VBOF DTC NNC CCT,32
CCT NNC CCP DTC,32
LM VBTS CCT NNC CCB NNC,32
DTP NNP NNP LM VBAF,32
NNC CCB DTCP JJD_CCP NNC,32
CCT NNC CCB NNP CCA NNP,32
VBTR CCB NNC CCP,32
CCB VBOF DTC DTCP,32
PRO DTC JJN_CCP NNC,32
JJN_CCP NNC CCP DTC,32
RBW_CCP CDB CCA,32
VBOF DTC DTCP NNC CCT,32
VBAF CCB JJD_CCP NNC,32
NNP CCT DTCP NNC,32
DTCP NNC CCB NNC_CCP,32
RBD_CCP VBW CCT,32
CCT JJN_CCP NNC_PMC,32
NNC CCB NNC LM VBTS CCT,32
JJD_CCP CCR PMS,32
CCB NNC CCA NNC CCT,32
NNC CCB CCR PMS NNC,32
JJD_CCP NNC RBW,32
NNC CCT NNC LM VBTS,32
VBAF CCT JJD_CCP,32
NNC LM VBTS_CCP,32
RBL CCT NNC_CCP,32
CCB PRI_CCP JJD_CCP NNC,32
PRI_CCP JJD CCP NNC CCT,32
DTC NNC CCB JJD_CCP NNC,32
NNC LM JJD CCT,32
NNC LM VBTR_VBAF CCT,32
VBAF CCT PRSP_CCP,32
CCP DTC PRSP_CCP NNC LM,32
CCT PRSP_CCP NNC CCB,32
VBAF CCT PRI_CCP NNC,32
PMS NNC DTP NNP,32
CCT RBW_CCP NNC,32
NNP RBW_CCP CDB_PMP,31
VBOF DTC JJD_CCP NNC,31
RBW DTC DTCP NNC,31
RBL CCT NNP_PMC,31
NNC_CCP NNP_PMP,31
LM VBTS CCB NNP,31
CCP NNC CCB NNP NNP,31
NNP CCT NNP LM VBTS,31
LM PRI_CCP JJD_CCP,31
PRO LM VBTS CCT,31
DTC NNC LM RBD_CCP,31
CCA DTC PRSP_CCP NNC,31
CCB JJN_CCP NNC CCB,31
VBTS CCB PRSP_CCP NNC,31
NNC CCB NNC CCB NNP LM,31
JJD_CCP DTCP NNC CCB,31
LM VBTS CCT JJD_CCP,31
PRS CCT NNC CCB,31
VBTS RBI DTC NNC,31
CCT JJCS_JJD CCP,31
CCP VBOF DTC DTCP NNC,31
VBTS DTP NNP NNP CCP,31
VBOF DTC NNC_CCP,31
DTCP JJD_CCP NNC_PMC,31
DTC DTCP NNC LM RBF,31
DTC DTCP NNC LM VBTS CCB,31
NNC CCT NNP_CCP NNP,31
JJD CCT NNC CCB NNC,31
DTC VBTS CCT NNC CCB,31
CCT CCT NNC CCB NNP,31
NNC CCP VBTS RBW_CCP,31
CCB PRSP_CCP DTCP NNC,31
DTC NNP_CCP NNP CCB,31
LM VBTS CCT NNC CCB NNP,31
NNP RBW_CCP NNP_PMP,31
VBTS CCP DTC DTCP NNC,31
CCB NNC CCP VBW,31
NNC CCP VBTS CCT NNC CCB,31
VBW PMS NNC CCB,31
NNC_CCP NNP_PMC,31
NNC CCP VBTR_VBAF CCB,31
CCB DTCP NNC RBL,31
CCA JJD CCP NNC,31
NNC CCB JJD_CCP NNC_PMP,31
CCB JJD_CCP NNC_PMC,31
CCP DTCP NNC_PMC,31
CCB JJD CCP NNC_PMP,31
NNC LM VBTS CCT NNP,31
NNC CCB NNC CCB NNP_PMP,31
JJCC JJD CCP NNC,31
NNC CCT NNC_CCP JJD,31
LM RBD_CCP VBAF,31
LM JJD CCT NNC,31
NNP LM VBAF CCT NNC,31
DTC NNC LM VBTS CCT NNC,31
NNC RBW_CCP JJN PMS,31
JJCS_JJD CCP NNC CCT,31
NNC LM RBF VBTS,31
VBAF CCT NNC CCP,31
LM VBTS CCP CCT,31
NNC CCB NNP NNP CCP DTP,31
VBAF CCT NNC CCB NNP,31
NNP NNP LM VBTS CCB NNC,31
CCP VBTS NNC CCB,31
LM VBTS NNC CCT,31
DTC PRSP_CCP JJD_CCP,30
PRI_CCP NNC RBW,30
RBI_CCP PMS CDB,30
CCT DTCP VBTS_CCP,30
VBTS CCP DTP NNP,30
CCB JJD_CCP DTCP,30
CCB JJD CCP NNC CCP,30
DTCP NNC_CCP VBH,30
CCT NNP NNP RBW_CCP,30
DTC NNC LM RBM,30
CCB DTCP NNC CCT NNC CCB,30
VBTS CCB JJD_CCP NNC CCT,30
CCT NNP CCB NNP CCP,30
DTC PRSP_CCP NNC_PMC,30
DTCP NNC CCT JJD,30
DTC NNC CCB NNP_PMC,30
DTP NNP NNP DTC NNC,30
CCB DTCP NNC CCP VBTS,30
NNC LM RBF VBTR,30
DTC DTCP NNP LM,30
VBAF CCB DTCP NNC,30
PRSP_CCP NNC RBW,30
VBTS CCP NNC CCB,30
VBTR CCB DTCP NNC CCB,30
NNC DTC PRSP_CCP NNC,30
NNP DTC PRI_CCP,30
NNC RBW_CCP JJN PMS CDB,30
CCB NNP CCP DTP NNP NNP_PMC,30
CCT JJD_CCP DTCP,30
DTC DTCP NNC CCB NNP NNP,30
NNC CCA DTCP NNC CCT,30
VBOF DTC NNC CCB NNP,30
CCB PRI_CCP NNC CCT NNC,30
NNP LM VBTS DTC NNC,30
CCB JJN_CCP NNC_CCP,30
NNC RBL CCT DTCP NNC,30
DTCP NNC LM VBTS CCP,30
VBW DTC NNC_PMP,30
NNC CCT NNC CCB JJN_CCP,30
CCT PRI_CCP NNP,30
PRI_CCP NNC LM VBTS,30
PRSP_CCP JJN_CCP NNC,30
NNC CCA VBAF CCT,30
JJD CCB NNC CCP,30
CCR PMS JJD CCP,30
DTC PRI_CCP JJD_CCP,30
NNC CCA DTCP NNC CCB,30
NNP LM VBTS CCT NNC CCB,30
CCT PRI RBI_CCP,30
CCP VBAF CCT NNP,30
NNC_CCP VBTR CCT,30
JJD_CCP NNC CCB NNP_PMC,30
DTC DTCP NNC RBL CCT,30
PRSP_CCP NNC CCB NNC,30
VBOF CCB NNP DTC,30
CCT CCT PRSP_CCP NNC,30
LM VBTS CCT NNP NNP,30
CCT NNC CCB PRI_CCP NNC,29
PRI_CCP NNC DTC VBTS,29
RBL CCT NNC CCB NNP,29
DTC DTCP NNC CCB NNC CCT,29
PMS NNC CCB NNC CCT,29
DTC NNC LM VBTR CCB,29
VBTR CCT PRI_CCP,29
PRI_CCP JJD CCP NNC CCB,29
CCP DTP NNP NNP LM VBTS CCB,29
JJN_CCP NNC CCP VBTS,29
CCA DTC DTCP NNC LM,29
NNC CCP VBOF DTC NNC,29
VBTS CCB NNC_PMC,29
LM VBTR CCT NNC CCB,29
DTC NNP CCT NNC,29
CCB NNC DTC VBTS,29
VBTS RBW_CCP NNC,29
NNC CCB NNC CCT NNP NNP,29
CCT JJN_CCP NNC CCT,29
NNC CCB NNC CCP VBTS CCT,29
CCT DTCP NNC CCB NNC_PMP,29
DTC VBTS CCB NNC,29
VBTS CCT NNC CCB NNC CCB,29
NNP CCA NNC CCB,29
JJD CCT NNC CCP,29
VBTS CCB NNC_PMP,29
VBTS CCB DTCP NNC CCT,29
NNC DTC PRI_CCP,29
NNC CCB NNC LM VBAF,29
NNC CCT PRI CCB,29
CCA VBTS DTC NNC,29
PRI_CCP NNC CCP VBH,29
PRSP_CCP NNC LM VBTS,29
CCT JJD_CCP NNP,29
NNP CCT PRSP_CCP NNC,29
VBTS RBW_CCP JJN,29
VBTS RBW_CCP JJN PMS,29
NNC CCB NNP NNP CCP DTP NNP,29
VBTF CCB JJD_CCP,29
CCP VBW CCT NNC,29
NNP NNP NNP LM VBTS CCP,29
DTCP NNC CCP DTC NNC,29
CCT JJC_CCP NNC,29
NNC RBL CCT NNP NNP,29
DTCP NNC CCT NNC LM,29
CCB NNC RBW_CCP NNP,29
CCA DTC NNC CCB NNC,29
PRSP_CCP NNC RBW_CCP,29
DTC NNC CCP VBTR,29
CCT JJD CCB NNP,29
CCT NNP CCB NNP_PMP,29
RBL CCT NNP CCB,29
VBTS_CCP NNC LM,29
DTC NNP LM VBTR,29
JJD DTC NNC CCB,29
DTC NNC CCP DTP NNP,29
DTC JJD CCP NNC CCT,29
CCP VBW CCB NNC,29
DTC NNC CCB NNC CCA,29
NNC CCB NNC LM RBF,29
NNC CCT NNC CCB JJD_CCP,29
DTCP NNC CCB NNP CCA,29
DTC NNC LM VBTS CCP,29
CCB NNC CCT NNC_PMC,29
NNC LM VBAF CCT NNC,29
JJD CCP NNC CCP VBTS,29
DTC DTCP NNC CCP VBTS,29
CCB NNC CCA DTCP,28
VBTS CCB PRI_CCP NNC CCB,28
PRSP_CCP DTCP NNC CCA,28
CCT JJN_CCP NNC_CCP,28
DTCP NNC CCB NNC CCT NNC,28
NNC CCB FW LM,28
PRI_CCP NNC_CCP JJD,28
CCP DTC NNC CCT NNC,28
PRSP_CCP DTCP NNC_PMP,28
CCP VBTR CCB DTCP NNC,28
CCB NNC CCB PRI_CCP,28
RBR CCT NNC CCB NNP,28
DTCP NNC CCP PRO,28
CCT PRSP_CCP NNC_CCP,28
VBTS CCB NNPA CCP,28
NNP CCT JJD_CCP NNC,28
CCB NNC CCB NNP CCA,28
NNC CCB NNC CCT DTCP NNC,28
CCP VBTS CCB DTCP,28
CCT DTC DTCP NNC,28
NNP LM VBOF DTC,28
CCB PRSP_CCP NNC CCP,28
NNC CCT NNP RBW_CCP,28
NNC_CCP PRO_PMP,28
NNC CCP DTC NNP,28
JJD_CCP NNC RBL,28
CCR CCT PRSP_CCP,28
RBD_CCP VBAF CCT,28
RBW_CCP JJD_CCP NNC,28
CDB PMS NNC_CCP PMS,28
NNC_CCP VBTS CCB,28
VBTS DTP NNP NNP CCT,28
PMS JJD_CCP NNC,28
NNP CCP VBTR CCT,28
NNC CCP VBOF CCT,28
PRI_CCP NNC PMS,28
VBW CCB NNC_PMP,28
JJD CCT NNC CCB NNP,28
LM VBTS CCT DTCP NNC,28
NNP NNP CCT PRI_CCP,28
DTP NNP DTC PRSP_CCP,28
NNC CCP VBTS CCB NNC,28
NNP DTC JJD_CCP,28
NNP CCP VBTR CCB,28
DTP NNP LM RBF,28
LM VBTR CCP DTC NNC,28
RBR DTP NNP NNP_PMC,28
VBOF DTC PRSP_CCP DTCP,28
JJD_CCP NNC CCA NNC,28
CCT NNC CCB NNC CCT NNP,28
DTC NNC LM VBTR_VBAF,28
DTCP VBTS_CCP NNC,28
CCB NNC CCP VBOF,28
PRS CCP DTC NNC,28
DTC NNC DTP NNP LM,28
CCB RBI_CCP PMS,28
DTCP JJD_CCP NNC_PMP,28
NNC CCP VBTR CCT NNC,28
NNC CCP VBW CCT,28
CCT NNC CCB VBW,28
DTCP NNC JJC CCB,28
CCT JJD CCP NNC_PMP,28
CCT NNC DTP NNP NNP,28
NNC CCT VBTS_CCP,28
CCP NNC LM VBTR,28
CCP VBTF CCT NNC,28
PRI_CCP NNC CCB NNC CCB,27
NNP CCB NNP LM VBTS CCB,27
DTCP NNC CCP VBOF DTC,27
NNP CCP VBTR_VBAF,27
CCT NNC CCB NNP CCB NNP,27
CCT DTCP NNC CCP VBTS,27
CCP DTP NNP NNP LM VBTS CCT,27
CCB NNC CCT CCT DTCP,27
DTCP JJD_CCP NNC CCA,27
CCB DTCP NNC RBL CCT,27
VBTR_VBAF CCB DTCP,27
CCT NNC CCB NNP LM,27
DTC NNC LM VBAF CCB,27
VBTS DTP NNP DTC NNC,27
CCB NNC CCT NNP_PMP,27
RBR CCT NNP CCB,27
CCP PRS LM VBTS,27
VBTS CCT PRSP_CCP NNC,27
LM VBTS CCB JJD CCP,27
RBL CCT DTCP NNC CCB,27
CCT JJD CCP NNC_PMC,27
NNC CCB NNC CCP NNP,27
RBI DTP NNP CCP,27
CCT PRSP_CCP NNC CCT NNC,27
DTC DTCP NNC PMS,27
CCT NNC CCP DTP,27
VBW CCT JJD_CCP,27
CCA VBTS CCT NNC,27
NNP CCP DTC DTCP NNC,27
PRI_CCP NNC RBL CCT,27
VBH PMS NNC CCB,27
CCT VBOF DTC DTCP,27
NNC CCT NNP LM VBTS,27
DTC DTCP NNC_CCP PRO,27
NNC CCB NNC CCT NNC CCB NNP,27
PRI RBI_CCP NNC CCB,27
CCT DTCP NNC_CCP JJD,27
NNPA LM VBTS CCB,27
NNP LM VBTS CCB JJD_CCP,27
CCT NNP CCT NNC CCB,27
NNC DTP NNP NNP_PMP,27
NNC CCB NNP NNP NNP_PMC,27
VBTS RBW_CCP JJN PMS CDB,27
NNP CCB NNC_CCP,27
NNC_CCP NNP CCB,27
CCB NNC CCP JJD,27
NNC CCB JJN CCP,27
NNC CCT NNC CCB NNP_PMP,27
NNC RBW_CCP NNP_PMP,27
NNC CCB NNP FW NNP,27
DTP NNP NNP CCP DTC,27
NNC CCA DTC DTCP NNC,27
CCT NNC LM VBTS CCT,27
LM VBTS PMS NNC CCB,27
CCP NNC CCT PRI_CCP,27
NNC CCP PRO LM VBTS,27
NNC CCP NNC CCB NNP,27
NNC DTC VBTS CCP,27
DTCP NNC CCT PRSP_CCP,27
NNC CCA NNC CCB DTCP,27
CCT NNC CCT JJD_CCP,27
VBTR_VBAF CCT NNP,27
VBTR CCB NNC_PMP,27
NNP RBW_CCP JJN,27
CCT CCT DTCP NNC CCB,27
CCT VBTF CCP NNC,27
CCT CCT PRI_CCP NNC,27
VBAF CCB PRI_CCP,27
LM VBTF CCT NNC CCB,27
CCB NNC CCT NNC CCA,26
CCP DTCP NNC DTC,26
NNC CCB NNC CCT NNP_PMC,26
DTC JJD_CCP DTCP,26
JJN_CCP NNC VBW,26
NNC CCP VBTS CCT NNP,26
RBI DTC DTCP NNC,26
JJD CCP DTCP NNC CCB,26
CCA DTCP NNC_PMP,26
CCP VBAF CCT NNC CCB,26
CCT NNC CCB CCR PMS,26
DTC NNC LM VBAF CCT,26
DTCP NNC CCB JJD_CCP,26
NNC_CCP VBTR CCB,26
CCA VBOF DTC DTCP,26
NNC CCB PRI_CCP NNC CCT,26
NNC CCT NNC CCB FW,26
FW CCP DTP NNP NNP,26
NNC CCT DTCP NNC CCB NNC,26
CCP VBTS CCT DTCP,26
CCP NNC CCP VBTS CCT,26
NNP LM RBF VBTS,26
PRI RBI_CCP DTCP NNC,26
RBL CCT NNC_PMP,26
VBOF DTC NNC_PMC,26
DTCP NNC CCP VBW,26
NNP CCB NNP NNP CCP DTP,26
CDB NNC_CCP NNC CCT,26
CCA NNC CCB DTCP NNC,26
NNC CCB NNP PMS NNP,26
DTP NNP CCT PRSP_CCP,26
JJD JJN_CCP NNC,26
JJD CCP NNC_PMS,26
CCB NNC CCT NNC CCP,26
CCB VBTR_CCP NNC,26
CCP JJD CCT NNC,26
NNC CCT NNC CCB CDB,26
NNC_CCP RBI_CCP PMS NNC,26
RBI CCB DTCP NNC,26
PRP_CCP VBOF DTC,26
CCT NNC CCP VBOF,26
CCB JJD_CCP NNC CCT NNC CCB,26
PRI_CCP CCR PMS,26
CCT JJCS_JJD_CCP NNC,26
CCT NNC CCB JJN,26
NNC CCP VBOF DTC DTCP,26
NNP RBW_CCP CDB_PMC,26
VBAF CCT NNC_CCP,26
NNC CCT NNC CCB PRSP_CCP,26
CCB NNC CCR CCT,26
LM VBTS CCP DTC DTCP,26
CCB NNC CCT VBW,26
NNP CCP NNC CCT,26
CCR PMS VBTF CCB,26
NNC CCT NNC CCB NNC CCP,26
DTC JJD CCP NNC CCB NNC,26
CCP VBTR CCT NNP,26
CCT NNC CCB NNP NNP_PMP,26
FW LM VBTS CCT,26
LM VBTS CCP DTC NNC CCB,26
JJD_CCP NNC CCP VBTR,26
CCB DTC DTCP NNC,26
CCT NNP CCA DTC,26
NNC LM VBTS CCB DTCP,26
CCB NNC CCA DTC,26
DTC PRI CCB DTCP,26
VBOF CCB NNC DTC,26
NNP_CCP NNC CCB,26
CCT NNC_CCP NNC CCB,26
NNC CCP JJD CCB,26
RBI CCB NNC CCT,26
DTC NNC CCB NNP NNP NNP,26
DTCP NNC CCA DTC,26
NNP NNP LM VBTS CCT NNC,26
NNC DTP NNP NNP CCT,26
PMS_ DTC DTCP,26
CCB DTCP NNC CCT CCT,26
CCP DTC DTCP NNC_CCP,26
NNP LM VBTS RBI CCB,26
CCB JJCC JJD_CCP NNC,26
LM VBTS RBI CCT,26
