Sentences,General_POS_Tagged,Detailed_POS_Tagged,Lemmatized
Maaari mong patakbuhin ang ng taxi,VB.* PR.* VB.* DT.* CC.* NN.* PM.*,VBS PRS_CCP VBOF DTC CCB NNC PMC,ari mong takbo ang ng taxi
naglalakbay sa mga lansangan ng siyudad,VB.* CC.* DT.* NN.* CC.* NN.* PM.*,VBTR CCT DTCP NNC CCB NNC PMC,naglalakbay sa mga lansangan ng siyudad
ang tunay na layunin ibang,DT.* JJ.* CC.* NN.* PR.* PM.*,DTC JJD CCP NNC PRI_CCP PMC,ang tunay na layon iba
ngunit ang proseso ay nangangailangan ng kasanayan mataas na,CC.* DT.* NN.* LM VB.* CC.* NN.* JJ.* CC.*,CCT DTC NNC LM VBTR CCB NNC JJD CCP,ngunit ang roseso ay angaila ng sanay taas na
Siya lang naman ang hinihintay ko,PR.* RB.* RB.* DT.* VB.* PR.* PM.*,PRS RBI RBI DTC VBTR PRS PMC,siya lang naman ang hintay ko
gustong gusto ko na bumisita sa Japan,VB.* VB.* PR.* CC.* VB.* CC.* NN.* PM.*,VBS_CCP VBS PRS CCP VBAF CCT NNP PMC,gustong gusto ko na bisita sa Japan
Lalaki tinubuuan ng talbos sa ngipin dahil hindi nag sisipilyo —,NN.* VB.* CC.* NN.* CC.* NN.* CC.* RB.* VB.* NN.*,NNP VBOF CCB NNC CCT NNC CCR RBF VBTS NNC,
Sa ngayon ay nasa,CC.* RB.* LM RB.*,CCT RBW LM RBL,sa gayon ay nasa
Alam naman ng marami kung gaano kagaling si Coco Martin pagdating sa pag-arte kahit na noon pa man na nagsisimula ito ay nakitaan na,VB.* RB.* CC.* PR.* RB.* RB.* NN.* DT.* NN.* NN.* VB.* CC.* NN.* CC.* CC.* RB.* RB.* RB.* CC.* VB.* PR.* LM VB.* CC.*,VBS RBI CCB PRI RBK RBQ NNC_CCP DTP NNP NNP VBW CCT NNC CCT CCP RBW RBI RBI CCP VBTR PRO LM VBTS CCP,alam naman ng rami kung gaano galing si Coco Martin dati sa arte kahit na noon pa man na simula ito ay kita na
Pangasinan,NN.*,NNP,asin
Ito ay magaan dalhin,PR.* LM JJ.* VB.* PM.*,PRO LM JJD VBOF PMC,ito ay an dalhin
Isang Pelikula,PR.* NN.* PM.*,PRI_CCP NNP PMC,isa Pelikula
Tungkol sa mga Larawan ng mga Lumang Bulalakaw,RB.* CC.* DT.* NN.* CC.* DT.* NN.* NN.* PM.*,RBR CCT DTCP NNP CCB DTCP NNP_CCP NNP PMC,tungkol sa mga Larawan ng mga Lumang Bulalakaw
Sa totoo lang,CC.* RB.* RB.* PM.*,CCT RBT RBI PMC,sa totoo lang
Malamang galing sa ating,RB.* RB.* CC.* PR.*,RBI RBL CCT PRSP_CCP,lamang galing sa atin
paggamot ng kuko mula sa pagbabalat kung paano ituring ang mga halamang-singaw sa mga paa ng mga doktor ng payo.,VB.* CC.* NN.* RB.* CC.* NN.* RB.* RB.* VB.* DT.* DT.* NN.* CC.* DT.* NN.* CC.* DT.* NN.* CC.* NN.* PM.*,VBW CCB NNC RBL CCT NNC RBK RBQ VBOF DTC DTCP NNC CCT DTCP NNC CCB DTCP NNC CCB NNC PMP,paggamot ng kuko mula sa balat kung paano turing ang mga halamangsingaw sa mga paa ng mga doktor ng payo
kung paano sa singaw ang kuko sa paa halamang-singaw ang pinakamahusay na paraan upang gamutin ang kuko halamang-singaw sa aking mga paa.,RB.* RB.* CC.* NN.* DT.* NN.* CC.* NN.* NN.* DT.* JJ.* CC.* NN.* CC.* VB.* DT.* NN.* NN.* CC.* PR.* DT.* NN.* PM.*,RBK RBQ CCT NNC DTC NNC CCT NNC NNC DTC JJCS_JJD CCP NNC CCB VBOF DTC NNC NNC CCT PRSP_CCP DTCP NNC PMP,kung paano sa singaw ang kuko sa paa halamangsingaw ang husay na paraan upa gamot ang kuko halamangsingaw sa akin mga paa
ang pinakamahusay na lunas para sa mga halamang-singaw sa pagitan ng mga daliri sa kamay paano mag-apply pamahid ekzoderil.,DT.* JJ.* CC.* NN.* CC.* CC.* DT.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* PR.* VB.* NN.* NN.* PM.*,DTC JJCS_JJD CCP NNC CCT CCT DTCP NNC CCT NNC CCB DTCP NNC CCT NNC PRQ VBW NNC NNC PMP,ang husay na lunas para sa mga halamangsingaw sa pagitan ng mga daliri sa kamay paano magapply ahid ekzoderil
alak ng halamang-singaw sa mga kuko ng mga kamay kuko halamang-singaw sa iyong mga paa kaysa sa paggamot sa murang.,NN.* CC.* NN.* CC.* DT.* NN.* CC.* DT.* NN.* NN.* NN.* CC.* PR.* DT.* NN.* JJ.* CC.* VB.* CC.* JJ.* PM.*,NNC CCB NNC CCT DTCP NNC CCB DTCP NNC NNC NNC CCT PRSP_CCP DTCP NNC JJC CCT VBW CCT JJD_CCP PMP,alak ng halamangsingaw sa mga kuko ng mga kamay kuko halamangsingaw sa iyo mga paa kaysa sa gamot sa mura
balakubak paggamot kuko halamang-singaw halamang-singaw sa papa sa isang matanda sa pagitan ng puwit bilang isang gamutin.,RB.* VB.* NN.* NN.* NN.* CC.* NN.* CC.* PR.* JJ.* CC.* NN.* CC.* NN.* CC.* PR.* VB.* PM.*,RBD VBW NNC NNC NNC CCT NNC CCT PRI_CCP JJD CCT NNC CCB NNC CCT PRI_CCP VBOF PMP,balakubak gamot kuko halamangsingaw halamangsingaw sa papa sa isa tanda sa pagitan ng puwit bilang isa gamot
Kung paano mapupuksa ang forum halamang-singaw ng kuko Gawin ang kuko halamang-singaw na nanggagaling kapag,RB.* RB.* VB.* DT.* FW NN.* CC.* NN.* NN.* DT.* NN.* NN.* CC.* VB.* CC.* PM.*,RBK RBQ VBW DTC FW NNC CCB NNC NNP DTC NNC NNC CCP VBTR CCR PMC,kung paano puksa ang forom halamangsingaw ng kuko Gawin ang kuko halamangsingaw na galing kapa
mga bawal na gamot para sa paggamot ng halamang-singaw sa mga kamay kuko halamang-singaw litrato paa sintomas Paggamot.,DT.* JJ.* CC.* NN.* CC.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* NN.* NN.* NN.* NN.* NN.* PM.*,DTCP JJD CCP NNC CCT CCT NNC CCB NNC CCT DTCP NNC NNC NNC NNC NNC NNC NNP PMP,mga bawal na gamot para sa gamot ng halamangsingaw sa mga kamay kuko halamangsingaw litrato paa sintomas Paggamot
Sigurado ang mga paa halamang-singaw ay maaaring humantong sa kanggrenahin alisin ang fungus ay nangangahulugan,JJ.* DT.* DT.* NN.* NN.* LM RB.* VB.* CC.* RB.* VB.* DT.* FW LM VB.* PM.*,JJD DTC DTCP NNC NNC LM RBM VBAF CCT RBW VBOF DTC FW LM VBTR PMC,sigurado ang mga paa halamangsingaw ay ari hantong sa rena alis ang fungos ay angahulog
Kuko halamang-singaw ay ang sanhi ang pinaka-epektibong mga gamot halamang-singaw paggamot,NN.* NN.* LM DT.* NN.* DT.* JJ.* DT.* NN.* NN.* NN.* PM.*,NNP NNC LM DTC NNC DTC JJCS_JJD_CCP DTCP NNC NNC NNC PMC,kuko halamangsingaw ay ang sanhi ang epektibo mga gamot halamangsingaw gamot
ang pinaka-epektibong paggamot ng halamang-singaw sa kuko kung paano gamutin ang isang kuba kuko.,DT.* JJ.* NN.* CC.* NN.* CC.* NN.* RB.* RB.* VB.* DT.* PR.* NN.* NN.* PM.*,DTC JJCS_JJD_CCP NNC CCB NNC CCT NNC RBK RBQ VBOF DTC PRI_CCP NNC NNC PMP,ang epektibo gamot ng halamangsingaw sa kuko kung paano gamot ang isa kuba kuko
Unguento ng halamang-singaw sa tainga kung paano mapupuksa ang mga halamang-singaw sa kuko forum,VB.* CC.* NN.* CC.* NN.* RB.* RB.* VB.* DT.* DT.* NN.* CC.* NN.* FW PM.*,VBAF CCB NNC CCT NNC RBK RBQ VBW DTC DTCP NNC CCT NNC FW PMC,unguento ng halamangsingaw sa tainga kung paano puksa ang mga halamangsingaw sa kuko forom
paa halamang-singaw paggamot Paunang paa halamang-singaw.,NN.* RB.* VB.* NN.* NN.* NN.* PM.*,NNC RBW VBW NNP_CCP NNC NNC PMP,paa halamangsingaw gamot Paunang paa halamangsingaw
Pinakamalalang kaso ng kuto,JJ.* NN.* CC.* NN.* PM.*,JJCS_JJD_CCP NNC CCB NNC PMC,lang kaso ng kuto
kuko halamang-singaw paggamot sa kanyang mga paa Litrato,NN.* NN.* VB.* CC.* PR.* DT.* NN.* NN.*,NNC NNC VBW CCT PRSP_CCP DTCP NNC NNP,kuko halamangsingaw gamot sa kanya mga paa Litrato
Gamutin ang halamang-singaw sa kanyang mga paa ekzoderil presyo kung paano sa paggamot sa isang lamog banda nail,VB.* DT.* NN.* CC.* PR.* DT.* NN.* NN.* NN.* RB.* RB.* CC.* VB.* CC.* PR.* JJ.* NN.* VB.* PM.*,VBOF DTC NNC CCT PRSP_CCP DTCP NNC NNC NNC RBK RBQ CCT VBW CCT PRI_CCP JJD NNC VBTS PMC,gamot ang halamangsingaw sa kanya mga paa ekzoderil presyo kung paano sa gamot sa isa lamo banda nail
Hindi malayo na maetsapuwera sila dahil sa ibinibigay na pribilehiyo sa mga tsekwa na umo­okupa sa nasabing mga establisimiyento!,RB.* JJ.* CC.* VB.* PR.* CC.* CC.* VB.* CC.* NN.* CC.* DT.* NN.* CC.* FW FW CC.* VB.* DT.* NN.* PM.*,RBF JJD CCP VBW PRP CCR CCT VBTR CCP NNC CCT DTCP NNC CCP FW FW CCT VBTS_CCP DTCP NNC PMS,hindi layo na etsapuwera sila dahil sa bigay na ribilehiyo sa mga sekwa na o\xadokupa sa sabi mga establisimiyento
Sa gitna ng kaguluhan,CC.* JJ.* CC.* NN.* PM.*,CCT JJD CCB NNC PMC,sa gitna ng gulo
siniguro ni Dado na hindi na siya makakapagsalita kay kanyang pinatay gamit ang buo niyang lakas.,VB.* DT.* NN.* CC.* RB.* RB.* PR.* VB.* DT.* PR.* VB.* VB.* DT.* PR.* PR.* NN.* PM.*,VBTS DTP NNP CCP RBF RBI PRS VBW DTP PRSP_CCP VBOF VBS DTC PRI PRS_CCP NNC PMP,siniguro ni Dado na hindi na siya sala kay kanya patay gamit ang buo niya lakas
Sa pag-aakalang tapos na ang kanilang kalbaryo,CC.* NN.* JJ.* CC.* DT.* PR.* NN.* PM.*,CCT NNC_CCP JJD CCP DTC PRSP_CCP NNC PMC,sa akala tapos na ang nila baryo
Samantala,CC.* PM.*,CCT PMC,samantala
kaya lubos ang naging galit niya sa panlolokong ginawa ng kanyang ina.,CC.* JJ.* DT.* VB.* NN.* PR.* CC.* JJ.* VB.* CC.* PR.* NN.* PM.*,CCR JJCS DTC VBTS NNC PRS CCT JJD_CCP VBOF CCB PRSP_CCP NNC PMP,kaya lubos ang naging galit niya sa loko gawa ng kanya ina
Sa kabila ng sama ng loob,CC.* CC.* CC.* NN.* CC.* NN.* PM.*,CCT CCT CCB NNC CCB NNC PMC,sa bila ng sama ng loob
Hanggang kailan itatatago ni Enzo ang katotohanan?,RB.* PR.* VB.* DT.* NN.* DT.* NN.* PM.*,RBW PRQ VBTF DTP NNP DTC NNC PMQ,hangga ilan tago ni Enzo ang toi
Ayon sa kanilang datos,RB.* CC.* PR.* NN.* PM.*,RBR CCT PRSP_CCP NNC PMC,ayon sa nila datos
Kahit nga raw sa distrito ni Biazon ay napansin niya na biglang naglipana ang mga singkit sa kanilang lugar!,CC.* RB.* RB.* CC.* NN.* DT.* NN.* LM VB.* PR.* CC.* RB.* VB.* DT.* DT.* NN.* CC.* PR.* NN.* PM.*,CCT RBI RBI CCT NNC DTP NNP LM VBTS PRS CCP RBD_CCP VBTS DTC DTCP NNC CCT PRSP_CCP NNC PMS,kahit nga raw sa distrito ni Biazon ay pansin niya na bigla lipana ang mga singkit sa nila lugad
Ayon sa kanya,RB.* CC.* PR.* PM.*,RBR CCT PRSP PMC,ayon sa kanya
kung gaano katagal ang paggaling pagkatapos ng dibdib mammoplasty kung paano dagdagan ang dibdib gamit pagsasanay.,RB.* RB.* JJ.* DT.* NN.* VB.* CC.* NN.* VB.* RB.* RB.* VB.* DT.* NN.* VB.* NN.* PM.*,RBK RBQ JJD DTC NNC VBW CCB NNC VBW RBK RBQ VBTF DTC NNC VBS NNC PMP,kung gaano tagal ang galing tapos ng dibdib moplasty kung paano dagan ang dibdib gamit sanay
magtanim ng pang-kalusugan.,VB.* CC.* NN.* PM.*,VBW CCB NNC PMP,magtanim ng lusog
Ang kalusugan ay maaaring maging negatibo ang kahulugan,DT.* NN.* LM RB.* VB.* JJ.* DT.* NN.* PM.*,DTC NNC LM RBM VBW JJD DTC NNC PMC,ang lusog ay ari maging negatibo ang hulog
bilang ang pagkawala ng sakit,CC.* DT.* NN.* CC.* NN.* PM.*,CCT DTC NNC CCB NNC PMC,bilang ang wala ng sakit
gumagana bilang ang kakayahan na malabanan ang araw- araw.,VB.* CC.* DT.* NN.* CC.* VB.* DT.* NN.* PM.* NN.* PM.*,VBTR_VBAF CCT DTC NNC CCP VBW DTC NNC PMS NNC PMP,gumagana bilang ang kaya na laban ang araw araw
mas mahusay na magdala ng mga parasito Upang masuri para sa mga parasito.,JJ.* JJ.* CC.* VB.* CC.* DT.* NN.* CC.* VB.* CC.* CC.* DT.* NN.* PM.*,JJCC JJD CCP VBW CCB DTCP NNC CCB VBW CCT CCT DTCP NNC PMP,mas husay na dala ng mga rasito Upang suri para sa mga rasito
kung paano na baybayin nang isang parasito kung ano ang mga parasito ay dapat magpasuri.,RB.* RB.* CC.* NN.* RB.* PR.* NN.* RB.* RB.* DT.* DT.* NN.* LM VB.* VB.* PM.*,RBK RBQ CCP NNC RBW PRI_CCP NNC RBK RBQ DTC DTCP NNC LM VBS VBAF PMP,kung paano na baybayin nang isa rasito kung ano ang mga rasito ay dapat suri
Ano ang magagawa ng mga magulang ng batang binakunahan ng Dengvaxia?,PR.* DT.* VB.* CC.* DT.* NN.* CC.* JJ.* VB.* CC.* NN.* PM.*,PRQ DTC VBTF CCB DTCP NNC CCB JJD_CCP VBTR CCB NNP PMQ,ano ang agawa ng mga ulan ng bata bakuna ng Dengvaxia
Ang varicella zoster virus ang dahilan ng pagkakaroon ng sakit ito.,DT.* FW FW FW DT.* NN.* CC.* NN.* CC.* NN.* PR.* PM.*,DTC FW FW FW DTC NNC CCB NNC CCB NNC PRO PMP,ang varicella osted viros ang dahil ng roon ng sakit ito
Ang mga taong nakaranas na ng bulutong ay kadalasang hindi na ulit magkakasakit ng ganito.,DT.* DT.* NN.* VB.* RB.* CC.* NN.* LM RB.* RB.* CC.* RB.* VB.* CC.* PR.* PM.*,DTC DTCP NNC_CCP VBTS RBI CCB NNC LM RBW_CCP RBF CCP RBW VBTF CCB PRC PMP,ang mga tao ranas na ng buluto ay dalasa hindi na ulit sakit ng ganito
Bagama't ito ay pinakakaraniwan sa mga kabataan.,NN.* PM.* NN.* PR.* LM JJ.* CC.* DT.* NN.* PM.*,NNP PMS NNCA PRO LM JJCS_JJD CCT DTCP NNC PMP,bagamat ito ay karaniwan sa mga bata
15 minuto para sa isang magandang baywang paano alisin tiyan taba - Maaari ba akong gumamit ng suka para sa pagbaba ng timbang,CD.* NN.* CC.* CC.* PR.* JJ.* NN.* PR.* VB.* NN.* NN.* PM.* VB.* RB.* PR.* VB.* CC.* NN.* CC.* CC.* NN.* CC.* NN.*,CDB NNC CCT CCT PRI_CCP JJD_CCP NNC_CCP PRQ VBOF NNC NNC PMS VBS RBI PRS_CCP VBAF CCB NNC CCT CCT NNC CCB NNC,
Paano ang tamang pag-aalaga sa mukha?,PR.* DT.* JJ.* NN.* CC.* NN.* PM.*,PRQ DTC JJD_CCP NNC CCT NNC PMQ,paano ang tama alaga sa mukha
pinakamabilis na paraan upang mawalan ng timbang sa bahay para sa isang linggo,JJ.* CC.* NN.* CC.* VB.* CC.* NN.* CC.* NN.* CC.* CC.* PR.* NN.*,JJCS_JJD CCP NNC CCB VBW CCB NNC CCT NNC CCT CCT PRI_CCP NNC,pinakamabilis na paraan upa walan ng timbang sa bahay para sa isa linggo
Pinakamalalang kaso ng kuto,JJ.* NN.* CC.* NN.* PM.*,JJCS_JJD_CCP NNC CCB NNC PMC,lang kaso ng kuto
Upang maunawaan kung paano makalkula ang bubong ng isang kahoy na bahay,CC.* VB.* RB.* RB.* VB.* DT.* NN.* CC.* PR.* NN.* CC.* NN.* PM.*,CCB VBW RBK RBQ VBW DTC NNC CCB PRI_CCP NNC CCP NNC PMC,upa unawa kung paano kula ang bubo ng isa kahoy na bahay
dapat mong pag-aralan ang buong sistema ng pagtatayo nito (mas detalyado:,VB.* PR.* NN.* DT.* PR.* NN.* CC.* NN.* PR.* NN.* JJ.* JJ.* PM.*,VBS PRS_CCP NNC DTC PRI_CCP NNC CCB NNC PRO NNPA JJCC JJD PMS,dapat mong aral ang buo sistema ng tayo nito mas detalyado
Kaya,CC.* PM.*,CCR PMC,kaya
ay hindi dapat magsama sa kanila sa isang punto.,LM RB.* VB.* VB.* CC.* PR.* CC.* PR.* NN.* PM.*,LM RBF VBS VBAF CCT PRSP CCT PRI_CCP NNC PMP,ay hindi dapat sama sa nila sa isa punto
na isinagawa alinsunod sa mga modernong teknolohiya,CC.* VB.* RB.* CC.* DT.* JJ.* NN.* PM.*,CCP VBTS RBR CCT DTCP JJD_CCP NNC PMC,na sagawa alinsunod sa mga moderno teknolohiya
ay may maraming mga pakinabang:,LM VB.* PR.* DT.* NN.* PM.*,LM VBH PRI_CCP DTCP NNC PMS,ay may rami mga kinabang
kung saan ang ilan sa mga lugar ay tirahan.,RB.* RB.* DT.* PR.* CC.* DT.* NN.* LM NN.* PM.*,RBK RBQ DTC PRQ CCT DTCP NNC LM NNC PMP,kung saan ang ilan sa mga lugad ay tirahan
panghaliling daan,JJ.* NN.* PM.*,JJD_CCP NNC PMC,panghaliling daan
artipisyal na bato,JJ.* CC.* NN.* PM.*,JJD CCP NNC PMC,artipisyal na bato
Samakatuwid,CC.* PM.*,CCT PMC,samakatuwid
upang makamit ang pinakamataas na magkasanib na densidad,CC.* VB.* DT.* JJ.* CC.* VB.* CC.* NN.* PM.*,CCB VBW DTC JJCS_JJD CCP VBAF CCP NNC PMC,upang kamit ang taas na sanib na densidad
Kung minsan ang materyal na ito ay tinatawag ding kahoy na panghaliling daan.,CC.* RB.* DT.* NN.* CC.* PR.* LM VB.* RB.* NN.* CC.* JJ.* NN.* PM.*,CCR RBW DTC NNC CCP PRO LM VBTR RBI_CCP NNC CCP JJD_CCP NNC PMP,kung minsan ang teryal na ito ay tawag ding kahoy na halil daan
Magpakita ng isang proseso para sa paggawa ng produkto hangga’t maaari.,VB.* CC.* PR.* NN.* CC.* CC.* NN.* CC.* NN.* RB.* NN.* VB.* PM.*,VBW CCB PRI_CCP NNC CCT CCT NNC CCB NNC RBW NNCA VBS PMP,kita ng isa roseso para sa gawa ng rodukto hangga’t ari
Gusto ng mga tao na panoorin ang artisan sa trabaho.,VB.* CC.* DT.* NN.* CC.* VB.* DT.* NN.* CC.* NN.* PM.*,VBS CCB DTCP NNC CCP VBOF DTC NNC CCT NNC PMP,gusto ng mga tao na orin ang artis sa trabaho
Ipaliwanag kung ano ang iyong ginagawa,VB.* RB.* RB.* DT.* PR.* VB.* PM.*,VBTS_VBOF RBK RBQ DTC PRSP_CCP VBTR PMC,liwanag kung ano ang iyo gawa
makipag-ugnay sa mga tao sa pamamagitan ng pakikipag-usap sa kanila ng mga tanong sa iyong sariling mga tanong,VB.* CC.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* PR.* CC.* DT.* NN.* CC.* PR.* NN.* DT.* NN.* PM.*,VBW CCT DTCP NNC CCT NNC CCB NNC CCT PRSP CCB DTCP NNC CCT PRSP_CCP NNC_CCP DTCP NNC PMC,makipagugnay sa mga tao sa amagit ng usap sa nila ng mga tanong sa iyo sarili mga tanong
masyadong.,JJ.* PM.*,JJCS_CCP PMP,masyadong
sa kasamaang palad isang pangunahing sagabal ang pumigil sa kanila.,CC.* NN.* NN.* PR.* JJ.* NN.* DT.* VB.* CC.* PR.* PM.*,CCT NNC_CCP NNC PRI_CCP JJD_CCP NNC DTC VBAF CCT PRSP PMP,sa sama palad isa una sagabal ang pigil sa nila
Ang ganitong mga piraso ay maaaring magkaroon ng isang ganap na naiibang pagsasaayos,DT.* PR.* DT.* NN.* LM RB.* VB.* CC.* PR.* JJ.* CC.* VB.* NN.* PM.*,DTC PRC_CCP DTCP NNC LM RBM VBW CCB PRI_CCP JJD CCP VBTR_CCP NNC PMC,ang ganito mga piraso ay ari roon ng isa ganap na iba saayos
Bilang karagdagan,CC.* NN.* PM.*,CCT NNC PMC,bilang ragda
maaari silang gumawa ng mga pinaka-magkakaibang materyales,VB.* PR.* VB.* CC.* DT.* JJ.* NN.* PM.*,VBS PRP_CCP VBAF CCB DTCP JJCS_JJD_CCP NNC PMC,maaari sila gawa ng mga kaiba materyales
Ang gastos ng proyekto,DT.* NN.* CC.* NN.* PM.*,DTC NNC CCB NNC PMC,ang gastos ng royekto
kahit na tinatayang,CC.* CC.* VB.* PM.*,CCT CCP VBTR PMC,kahit na taya
kundi pati na rin sa kumpanya na nakipag-ugnay.,CC.* CC.* RB.* RB.* CC.* NN.* CC.* VB.* PM.*,CCT CCA RBI RBI CCT NNC CCP VBTS PMP,kundi pati na rin sa kumpanya na ugnay
Sa larawan – ang solusyon sa proyekto.,CC.* NN.* DT.* NN.* CC.* NN.* PM.*,CCT NNC DTC NNC CCT NNC PMP,
Kadalasan ang mga taong walang karanasan sa pagtatayo ng labis-labis ang tunay na kumplikado ng gawain.,RB.* DT.* DT.* NN.* VB.* NN.* CC.* NN.* CC.* JJ.* DT.* JJ.* CC.* JJ.* CC.* NN.* PM.*,RBW DTC DTCP NNC_CCP VBN_CCP NNC CCT NNC CCB JJCS DTC JJD CCP JJD CCB NNC PMP,dalas ang mga tao wala ranas sa tayo ng labislabis ang tunay na kumplikado ng gawa
Huwag pumili ng isang napaka-kumplikado,RB.* VB.* CC.* PR.* JJ.* PM.*,RBF VBAF CCB PRI_CCP JJCS_JJD PMC,huwa pili ng isa kumplikado
kung hindi kinakailangan.,CC.* RB.* VB.* PM.*,CCR RBF VBTR PMP,kung hindi kailangan
batay sa kung saan ang taga-disenyo ay magpanukala posibleng pagpipilian.,RB.* CC.* RB.* RB.* DT.* NN.* LM VB.* RB.* NN.* PM.*,RBR CCT RBK RBQ DTC NNC LM VBAF RBT_CCP NNC PMP,batay sa kung saan ang disenyo ay nukala posible pili
ang tinatayang laki ng mga kuwarto,DT.* VB.* NN.* CC.* DT.* NN.* PM.*,DTC VBTR_CCP NNC CCB DTCP NNC PMC,ang taya laki ng mga kuwarto
kung upang pagsamahin ang kusina,CC.* CC.* VB.* DT.* NN.* PM.*,CCR CCB VBOF DTC NNC PMC,kung upa sama ang kusina
taas ng mga palapag.,NN.* CC.* DT.* NN.* PM.*,NNC CCB DTCP NNC PMP,taas ng mga lapag
Samakatuwid,CC.* PM.*,CCT PMC,samakatuwid
upang makamit ang pinakamataas na magkasanib na densidad,CC.* VB.* DT.* JJ.* CC.* VB.* CC.* NN.* PM.*,CCB VBW DTC JJCS_JJD CCP VBAF CCP NNC PMC,upang kamit ang taas na sanib na densidad
ang presyo ay tinatayang,DT.* NN.* LM VB.* PM.*,DTC NNC LM VBTR_CCP PMC,ang presyo ay taya
dahil ang merkado presyo ng kahoy ay nagbabago Patuloy,CC.* DT.* NN.* NN.* CC.* NN.* LM VB.* JJ.* PM.*,CCR DTC NNC NNC CCB NNC LM VBTR JJD PMC,dahil ang merkado presyo ng kahoy ay bago Patuloy
ngunit upang tukuyin ang pagkakasunod-sunod na iyan sa paggasta.,CC.* CC.* VB.* DT.* NN.* CC.* PR.* CC.* NN.* PM.*,CCT CCB VBOF DTC NNC CCP PRO CCT NNC PMP,ngunit upa tukoy ang sunodsunod na iyan sa gasta
Ang puno ay palaging itinuturing na tradisyunal na materyal para sa pagtatayo ng mga bahay ng iba’t ibang mga kumpigurasyon.,DT.* NN.* LM RB.* VB.* CC.* JJ.* CC.* NN.* CC.* CC.* NN.* CC.* DT.* NN.* CC.* PR.* NN.* PR.* DT.* NN.* PM.*,DTC NNC LM RBD_CCP VBTR CCP JJD CCP NNC CCT CCT NNC CCB DTCP NNC CCB PRI NNCA PRI_CCP DTCP NNC PMP,ang puno ay lagi turing na tradisyunal na teryal para sa tayo ng mga bahay ng iba’t iba mga kumpigura
Ang magagandang hitsura,DT.* JJ.* NN.* PM.*,DTC JJD_CCP NNC PMC,ang aganda hitsura
Ang mga sumusunod na mga halimbawa ay pag-aralan ng mabuti lahat ng ating mga aksyon ay parang bato na bumagsak sa tubig,DT.* DT.* VB.* CC.* DT.* NN.* LM NN.* CC.* JJ.* PR.* CC.* PR.* DT.* NN.* LM CC.* NN.* CC.* VB.* CC.* NN.* PM.*,DTC DTCP VBTR_VBAF CCP DTCP NNC LM NNC CCB JJD PRI CCB PRSP_CCP DTCP NNC LM CCT NNC CCP VBAF CCT NNC PMC,ang mga sunod na mga halimbawa ay aral ng buti lahat ng atin mga aksyon ay para bato na bagsak sa tubig
meron itong mga alon na nagdudugtong ng mga pangyayari.,VB.* PR.* DT.* NN.* CC.* VB.* CC.* DT.* NN.* PM.*,VBH PRO_CCP DTCP NNC CCP VBTR CCB DTCP NNC PMP,meron ito mga alon na dugtong ng mga yari
Halimbawa-ng talambuhay,JJ.* NN.* PM.*,JJD_CCP NNC PMC,halimbawa talambuhay
Sa pagtataglay ng sariwang pananaw sa histograpiya,CC.* NN.* CC.* JJ.* NN.* CC.* NN.* PM.*,CCT NNC CCB JJD_CCP NNC CCT NNC PMC,sa taglay ng sariwa anaw sa histograpiya
Buod ng mga talambuhay ng mga bayaning pilipino,NN.* CC.* DT.* NN.* CC.* DT.* NN.* NN.* PM.*,NNC CCB DTCP NNC CCB DTCP NNC_CCP NNC PMC,buod ng mga talambuhay ng mga bayan pilipino
lungsod ng maynila.,NN.* CC.* NN.* PM.*,NNC CCB NNC PMP,lungsod ng nila
1995 sa mandili candaba pampanga ang aking paboritong pagkain ay sinigang na luto ng aking ina.,CD.* CC.* FW FW JJ.* DT.* PR.* JJ.* NN.* LM VB.* CC.* JJ.* CC.* PR.* NN.* PM.*,CDB CCT FW FW JJD DTC PRSP_CCP JJD_CCP NNC LM VBTS CCP JJD CCB PRSP_CCP NNC PMP,
Talambuhay ang aking talambuhaymarami ang nagsasabi na ang pinakamasayang araw na talambuhay - gawa ni evangeline forteza mahahalagang nagampanan nararapat tandaan sa.,NN.* DT.* PR.* NN.* DT.* VB.* CC.* DT.* JJ.* NN.* CC.* NN.* PM.* VB.* DT.* FW FW JJ.* VB.* VB.* VB.* CC.* PM.*,NNC DTC PRSP_CCP NNC DTC VBTR CCP DTC JJCS_JJD_CCP NNC CCP NNC PMS VBS DTP FW FW JJD_CCP VBTS VBTR VBOF CCT PMP,
isang munting buto ang nahalang sa kanyang lalamunan.,PR.* JJ.* NN.* DT.* VB.* CC.* PR.* NN.* PM.*,PRI_CCP JJD_CCP NNC DTC VBTS CCT PRSP_CCP NNC PMP,isang munti buto ang hala sa kanya lamon
magbigay ng 10 halimbawa ng pang-abay n pamanahon,VB.* CC.* CD.* NN.* CC.* JJ.* NN.* JJ.*,VBAF CCB CDB NNC CCB JJD NNC JJD,
noong isang,RB.* PR.*,RBW_CCP PRI_CCP,noong isa
sa isang,CC.* PR.*,CCT PRI_CCP,sa isa
susunod na,VB.* CC.*,VBTF CCP,susunod na
noong.,RB.* PM.*,RBW_CCP PMP,noong
