N-Gram_ID,N-Gram_Size,RoughPOS_N-Gram,DetailedPOS_N-Gram,N-Gram,Lemma_N-Gram
000963,6,RB.* VB.* PR.* PR.* NN.* CC.*,RBW VBW PRS PRO_CCP NNP CCT,nang makita ko ung Gundam sa,nang makita ko ung Gundam sa
000964,6,VB.* PR.* PR.* NN.* CC.* NN.*_PM.*,VBW PRS PRO_CCP NNP CCT NNP_PMP,makita ko ung Gundam sa Odaiba.,makita ko ung Gundam sa Odaiba.
000965,7,VB.* PR.* RB.* VB.* PR.* PR.* NN.*,VBTS PRS RBW VBW PRS PRO_CCP NNP,nasiyahan ako nang makita ko ung Gundam,nasiyahan ako nang makita ko ung Gundam
000966,7,PR.* RB.* VB.* PR.* PR.* NN.* CC.*,PRS RBW VBW PRS PRO_CCP NNP CCT,ako nang makita ko ung Gundam sa,ako nang makita ko ung Gundam sa
000967,7,RB.* VB.* PR.* PR.* NN.* CC.* NN.*_PM.*,RBW VBW PRS PRO_CCP NNP CCT NNP_PMP,nang makita ko ung Gundam sa Odaiba.,nang makita ko ung Gundam sa Odaiba.
000968,4,VB.* PR.* RB.* LM,VBS PRS RBT LM,akala ko talaga ay,akala ko talaga ay
000969,4,PR.* RB.* LM VB.*,PRS RBT LM VBTF,ko talaga ay lilipad,ko talaga ay lilipad
000970,4,RB.* LM VB.* PR.*,RBT LM VBTF PRO,talaga ay lilipad ito,talaga ay lilipad ito
000971,4,LM VB.* PR.* CC.*,LM VBTF PRO CCT,ay lilipad ito sa,ay lilipad ito sa
000972,4,VB.* PR.* CC.* NN.*,VBTF PRO CCT NNC,lilipad ito sa langit,lilipad ito sa langit
000973,4,PR.* CC.* NN.* NN.*,PRO CCT NNC NNPA,ito sa langit (tumawa).,ito sa langit (tumawa).
000974,5,VB.* PR.* RB.* LM VB.*,VBS PRS RBT LM VBTF,akala ko talaga ay lilipad,akala ko talaga ay lilipad
000975,5,PR.* RB.* LM VB.* PR.*,PRS RBT LM VBTF PRO,ko talaga ay lilipad ito,ko talaga ay lilipad ito
000976,5,RB.* LM VB.* PR.* CC.*,RBT LM VBTF PRO CCT,talaga ay lilipad ito sa,talaga ay lilipad ito sa
000977,5,LM VB.* PR.* CC.* NN.*,LM VBTF PRO CCT NNC,ay lilipad ito sa langit,ay lilipad ito sa langit
000978,5,VB.* PR.* CC.* NN.* NN.*,VBTF PRO CCT NNC NNPA,lilipad ito sa langit (tumawa).,lilipad ito sa langit (tumawa).
000979,6,VB.* PR.* RB.* LM VB.* PR.*,VBS PRS RBT LM VBTF PRO,akala ko talaga ay lilipad ito,akala ko talaga ay lilipad ito
000980,6,PR.* RB.* LM VB.* PR.* CC.*,PRS RBT LM VBTF PRO CCT,ko talaga ay lilipad ito sa,ko talaga ay lilipad ito sa
000981,6,RB.* LM VB.* PR.* CC.* NN.*,RBT LM VBTF PRO CCT NNC,talaga ay lilipad ito sa langit,talaga ay lilipad ito sa langit
000982,6,LM VB.* PR.* CC.* NN.* NN.*,LM VBTF PRO CCT NNC NNPA,ay lilipad ito sa langit (tumawa).,ay lilipad ito sa langit (tumawa).
000983,7,VB.* PR.* RB.* LM VB.* PR.* CC.*,VBS PRS RBT LM VBTF PRO CCT,akala ko talaga ay lilipad ito sa,akala ko talaga ay lilipad ito sa
000984,7,PR.* RB.* LM VB.* PR.* CC.* NN.*,PRS RBT LM VBTF PRO CCT NNC,ko talaga ay lilipad ito sa langit,ko talaga ay lilipad ito sa langit
000985,7,RB.* LM VB.* PR.* CC.* NN.* NN.*,RBT LM VBTF PRO CCT NNC NNPA,talaga ay lilipad ito sa langit (tumawa).,talaga ay lilipad ito sa langit (tumawa).
000986,4,VB.* CC.* PR.* DT.*,VBTS CCP PRP DTC,Narinig na namin ang,Narinig na namin ang
000987,4,CC.* PR.* DT.* NN.*,CCP PRP DTC NNC,na namin ang lugar,na namin ang lugar
000988,4,PR.* DT.* NN.* CC.*,PRP DTC NNC CCP,namin ang lugar na,namin ang lugar na
000989,4,DT.* NN.* CC.* PR.*,DTC NNC CCP PRO,ang lugar na ito,ang lugar na ito
000990,4,NN.* CC.* PR.* CC.*,NNC CCP PRO CCT,lugar na ito sa,lugar na ito sa
000991,4,CC.* PR.* CC.* DT.*,CCP PRO CCT DTCP,na ito sa mga,na ito sa mga
000992,4,PR.* CC.* DT.* JJ.*,PRO CCT DTCP JJD,"ito sa mga taga-Japan,",ito sa mga taga-Japan
000993,5,VB.* CC.* PR.* DT.* NN.*,VBTS CCP PRP DTC NNC,Narinig na namin ang lugar,Narinig na namin ang lugar
000994,5,CC.* PR.* DT.* NN.* CC.*,CCP PRP DTC NNC CCP,na namin ang lugar na,na namin ang lugar na
000995,5,PR.* DT.* NN.* CC.* PR.*,PRP DTC NNC CCP PRO,namin ang lugar na ito,namin ang lugar na ito
000996,5,DT.* NN.* CC.* PR.* CC.*,DTC NNC CCP PRO CCT,ang lugar na ito sa,ang lugar na ito sa
000997,5,NN.* CC.* PR.* CC.* DT.*,NNC CCP PRO CCT DTCP,lugar na ito sa mga,lugar na ito sa mga
000998,5,CC.* PR.* CC.* DT.* JJ.*,CCP PRO CCT DTCP JJD,"na ito sa mga taga-Japan,",na ito sa mga taga-Japan
000999,6,VB.* CC.* PR.* DT.* NN.* CC.*,VBTS CCP PRP DTC NNC CCP,Narinig na namin ang lugar na,Narinig na namin ang lugar na
001000,6,CC.* PR.* DT.* NN.* CC.* PR.*,CCP PRP DTC NNC CCP PRO,na namin ang lugar na ito,na namin ang lugar na ito
001001,6,PR.* DT.* NN.* CC.* PR.* CC.*,PRP DTC NNC CCP PRO CCT,namin ang lugar na ito sa,namin ang lugar na ito sa
001002,6,DT.* NN.* CC.* PR.* CC.* DT.*,DTC NNC CCP PRO CCT DTCP,ang lugar na ito sa mga,ang lugar na ito sa mga
001003,6,NN.* CC.* PR.* CC.* DT.* JJ.*,NNC CCP PRO CCT DTCP JJD,"lugar na ito sa mga taga-Japan,",lugar na ito sa mga taga-Japan
001004,7,VB.* CC.* PR.* DT.* NN.* CC.* PR.*,VBTS CCP PRP DTC NNC CCP PRO,Narinig na namin ang lugar na ito,Narinig na namin ang lugar na ito
001005,7,CC.* PR.* DT.* NN.* CC.* PR.* CC.*,CCP PRP DTC NNC CCP PRO CCT,na namin ang lugar na ito sa,na namin ang lugar na ito sa
001006,7,PR.* DT.* NN.* CC.* PR.* CC.* DT.*,PRP DTC NNC CCP PRO CCT DTCP,namin ang lugar na ito sa mga,namin ang lugar na ito sa mga
001007,7,DT.* NN.* CC.* PR.* CC.* DT.* JJ.*,DTC NNC CCP PRO CCT DTCP JJD,"ang lugar na ito sa mga taga-Japan,",ang lugar na ito sa mga taga-Japan
001008,3,CC.* VB.* PR.*_PM.*,CCR VBTF PRP_PMP,kung masisiyahan kayo.,kung masisiyahan kayo.
001009,4,JJ.* CC.* VB.* PR.*_PM.*,JJD CCR VBTF PRP_PMP,maganda kung masisiyahan kayo.,maganda kung masisiyahan kayo.
001010,5,VB.* JJ.* CC.* VB.* PR.*_PM.*,VBTF JJD CCR VBTF PRP_PMP,magiging maganda kung masisiyahan kayo.,magiging maganda kung masisiyahan kayo.
001011,6,CC.* VB.* JJ.* CC.* VB.* PR.*_PM.*,CCR VBTF JJD CCR VBTF PRP_PMP,kaya magiging maganda kung masisiyahan kayo.,kaya magiging maganda kung masisiyahan kayo.
001012,2,NN.* PR.*_PM.*,NNC_CCP PRO_PMP,kantang ito.,kantang ito.
001013,3,CC.* VB.* RB.*,CCR VBTF RBD_CCP,kung makukuha niyong,kung makukuha niyong
001014,3,VB.* RB.* VB.*,VBTF RBD_CCP VBW,makukuha niyong mahalin,makukuha niyong mahalin
001015,3,RB.* VB.* DT.*,RBD_CCP VBW DTC,niyong mahalin ang,niyong mahalin ang
001016,3,VB.* DT.* NN.*,VBW DTC NNC_CCP,mahalin ang kantang,mahalin ang kantang
001017,3,DT.* NN.* PR.*_PM.*,DTC NNC_CCP PRO_PMP,ang kantang ito.,ang kantang ito.
001018,4,PR.* CC.* VB.* RB.*,PRP CCR VBTF RBD_CCP,kami kung makukuha niyong,kami kung makukuha niyong
001019,4,CC.* VB.* RB.* VB.*,CCR VBTF RBD_CCP VBW,kung makukuha niyong mahalin,kung makukuha niyong mahalin
001020,4,VB.* RB.* VB.* DT.*,VBTF RBD_CCP VBW DTC,makukuha niyong mahalin ang,makukuha niyong mahalin ang
001021,4,RB.* VB.* DT.* NN.*,RBD_CCP VBW DTC NNC_CCP,niyong mahalin ang kantang,niyong mahalin ang kantang
001022,4,VB.* DT.* NN.* PR.*_PM.*,VBW DTC NNC_CCP PRO_PMP,mahalin ang kantang ito.,mahalin ang kantang ito.
001023,5,VB.* PR.* CC.* VB.* RB.*,VBTF PRP CCR VBTF RBD_CCP,matutuwa kami kung makukuha niyong,matutuwa kami kung makukuha niyong
001024,5,PR.* CC.* VB.* RB.* VB.*,PRP CCR VBTF RBD_CCP VBW,kami kung makukuha niyong mahalin,kami kung makukuha niyong mahalin
001025,5,CC.* VB.* RB.* VB.* DT.*,CCR VBTF RBD_CCP VBW DTC,kung makukuha niyong mahalin ang,kung makukuha niyong mahalin ang
001026,5,VB.* RB.* VB.* DT.* NN.*,VBTF RBD_CCP VBW DTC NNC_CCP,makukuha niyong mahalin ang kantang,makukuha niyong mahalin ang kantang
001027,5,RB.* VB.* DT.* NN.* PR.*_PM.*,RBD_CCP VBW DTC NNC_CCP PRO_PMP,niyong mahalin ang kantang ito.,niyong mahalin ang kantang ito.
001028,6,CC.* VB.* PR.* CC.* VB.* RB.*,CCR VBTF PRP CCR VBTF RBD_CCP,kaya matutuwa kami kung makukuha niyong,kaya matutuwa kami kung makukuha niyong
001029,6,VB.* PR.* CC.* VB.* RB.* VB.*,VBTF PRP CCR VBTF RBD_CCP VBW,matutuwa kami kung makukuha niyong mahalin,matutuwa kami kung makukuha niyong mahalin
001030,6,PR.* CC.* VB.* RB.* VB.* DT.*,PRP CCR VBTF RBD_CCP VBW DTC,kami kung makukuha niyong mahalin ang,kami kung makukuha niyong mahalin ang
001031,6,CC.* VB.* RB.* VB.* DT.* NN.*,CCR VBTF RBD_CCP VBW DTC NNC_CCP,kung makukuha niyong mahalin ang kantang,kung makukuha niyong mahalin ang kantang
001032,6,VB.* RB.* VB.* DT.* NN.* PR.*_PM.*,VBTF RBD_CCP VBW DTC NNC_CCP PRO_PMP,makukuha niyong mahalin ang kantang ito.,makukuha niyong mahalin ang kantang ito.
001033,7,CC.* VB.* PR.* CC.* VB.* RB.* VB.*,CCR VBTF PRP CCR VBTF RBD_CCP VBW,kaya matutuwa kami kung makukuha niyong mahalin,kaya matutuwa kami kung makukuha niyong mahalin
001034,7,VB.* PR.* CC.* VB.* RB.* VB.* DT.*,VBTF PRP CCR VBTF RBD_CCP VBW DTC,matutuwa kami kung makukuha niyong mahalin ang,matutuwa kami kung makukuha niyong mahalin ang
001035,7,PR.* CC.* VB.* RB.* VB.* DT.* NN.*,PRP CCR VBTF RBD_CCP VBW DTC NNC_CCP,kami kung makukuha niyong mahalin ang kantang,kami kung makukuha niyong mahalin ang kantang
001036,7,CC.* VB.* RB.* VB.* DT.* NN.* PR.*_PM.*,CCR VBTF RBD_CCP VBW DTC NNC_CCP PRO_PMP,kung makukuha niyong mahalin ang kantang ito.,kung makukuha niyong mahalin ang kantang ito.
001037,3,JJ.* JJ.* VB.*,JJCC JJD_CCP VBW,mas masayang makita,mas masayang makita
001038,3,JJ.* VB.* PR.*,JJD_CCP VBW PRP_CCP,masayang makita kaming,masayang makita kaming
001039,3,VB.* PR.* VB.*,VBW PRP_CCP VBOF,makita kaming kantahin,makita kaming kantahin
001040,3,PR.* VB.* PR.*_PM.*,PRP_CCP VBOF PRO_PMP,kaming kantahin ito.,kaming kantahin ito.
001041,4,CC.* VB.* PR.* RB.*,CCT VBS PRP RBI,pero alam niyo ba,pero alam niyo ba
001042,4,VB.* PR.* RB.* CC.*,VBS PRP RBI CCP,alam niyo ba na,alam niyo ba na
001043,4,PR.* RB.* CC.* JJ.*,PRP RBI CCP JJCC,niyo ba na mas,niyo ba na mas
001044,4,RB.* CC.* JJ.* JJ.*,RBI CCP JJCC JJD_CCP,ba na mas masayang,ba na mas masayang
001045,4,CC.* JJ.* JJ.* VB.*,CCP JJCC JJD_CCP VBW,na mas masayang makita,na mas masayang makita
001046,4,JJ.* JJ.* VB.* PR.*,JJCC JJD_CCP VBW PRP_CCP,mas masayang makita kaming,mas masayang makita kaming
001047,4,JJ.* VB.* PR.* VB.*,JJD_CCP VBW PRP_CCP VBOF,masayang makita kaming kantahin,masayang makita kaming kantahin
001048,4,VB.* PR.* VB.* PR.*_PM.*,VBW PRP_CCP VBOF PRO_PMP,makita kaming kantahin ito.,makita kaming kantahin ito.
001049,5,CC.* VB.* PR.* RB.* CC.*,CCT VBS PRP RBI CCP,pero alam niyo ba na,pero alam niyo ba na
001050,5,VB.* PR.* RB.* CC.* JJ.*,VBS PRP RBI CCP JJCC,alam niyo ba na mas,alam niyo ba na mas
001051,5,PR.* RB.* CC.* JJ.* JJ.*,PRP RBI CCP JJCC JJD_CCP,niyo ba na mas masayang,niyo ba na mas masayang
001052,5,RB.* CC.* JJ.* JJ.* VB.*,RBI CCP JJCC JJD_CCP VBW,ba na mas masayang makita,ba na mas masayang makita
001053,5,CC.* JJ.* JJ.* VB.* PR.*,CCP JJCC JJD_CCP VBW PRP_CCP,na mas masayang makita kaming,na mas masayang makita kaming
001054,5,JJ.* JJ.* VB.* PR.* VB.*,JJCC JJD_CCP VBW PRP_CCP VBOF,mas masayang makita kaming kantahin,mas masayang makita kaming kantahin
001055,5,JJ.* VB.* PR.* VB.* PR.*_PM.*,JJD_CCP VBW PRP_CCP VBOF PRO_PMP,masayang makita kaming kantahin ito.,masayang makita kaming kantahin ito.
001056,6,CC.* VB.* PR.* RB.* CC.* JJ.*,CCT VBS PRP RBI CCP JJCC,pero alam niyo ba na mas,pero alam niyo ba na mas
001057,6,VB.* PR.* RB.* CC.* JJ.* JJ.*,VBS PRP RBI CCP JJCC JJD_CCP,alam niyo ba na mas masayang,alam niyo ba na mas masayang
001058,6,PR.* RB.* CC.* JJ.* JJ.* VB.*,PRP RBI CCP JJCC JJD_CCP VBW,niyo ba na mas masayang makita,niyo ba na mas masayang makita
001059,6,RB.* CC.* JJ.* JJ.* VB.* PR.*,RBI CCP JJCC JJD_CCP VBW PRP_CCP,ba na mas masayang makita kaming,ba na mas masayang makita kaming
001060,6,CC.* JJ.* JJ.* VB.* PR.* VB.*,CCP JJCC JJD_CCP VBW PRP_CCP VBOF,na mas masayang makita kaming kantahin,na mas masayang makita kaming kantahin
001061,6,JJ.* JJ.* VB.* PR.* VB.* PR.*_PM.*,JJCC JJD_CCP VBW PRP_CCP VBOF PRO_PMP,mas masayang makita kaming kantahin ito.,mas masayang makita kaming kantahin ito.
001062,7,CC.* VB.* PR.* RB.* CC.* JJ.* JJ.*,CCT VBS PRP RBI CCP JJCC JJD_CCP,pero alam niyo ba na mas masayang,pero alam niyo ba na mas masayang
001063,7,VB.* PR.* RB.* CC.* JJ.* JJ.* VB.*,VBS PRP RBI CCP JJCC JJD_CCP VBW,alam niyo ba na mas masayang makita,alam niyo ba na mas masayang makita
001064,7,PR.* RB.* CC.* JJ.* JJ.* VB.* PR.*,PRP RBI CCP JJCC JJD_CCP VBW PRP_CCP,niyo ba na mas masayang makita kaming,niyo ba na mas masayang makita kaming
001065,7,RB.* CC.* JJ.* JJ.* VB.* PR.* VB.*,RBI CCP JJCC JJD_CCP VBW PRP_CCP VBOF,ba na mas masayang makita kaming kantahin,ba na mas masayang makita kaming kantahin
001066,7,CC.* JJ.* JJ.* VB.* PR.* VB.* PR.*_PM.*,CCP JJCC JJD_CCP VBW PRP_CCP VBOF PRO_PMP,na mas masayang makita kaming kantahin ito.,na mas masayang makita kaming kantahin ito.
001067,4,CC.* VB.* LM VB.*,CCR VBS LM VBTF,Kaya sana ay abangan,Kaya sana ay abangan
001068,4,VB.* LM VB.* PR.*,VBS LM VBTF PRP,sana ay abangan niyo,sana ay abangan niyo
001069,4,LM VB.* PR.* PR.*_PM.*,LM VBTF PRP PRP_PMP,ay abangan niyo kami.,ay abangan niyo kami.
001070,5,CC.* VB.* LM VB.* PR.*,CCR VBS LM VBTF PRP,Kaya sana ay abangan niyo,Kaya sana ay abangan niyo
001071,5,VB.* LM VB.* PR.* PR.*_PM.*,VBS LM VBTF PRP PRP_PMP,sana ay abangan niyo kami.,sana ay abangan niyo kami.
001072,6,CC.* VB.* LM VB.* PR.* PR.*_PM.*,CCR VBS LM VBTF PRP PRP_PMP,Kaya sana ay abangan niyo kami.,Kaya sana ay abangan niyo kami.
001073,3,CC.* PR.* RB.*,CCR PRS RBI_CCP,Kaya ko ring,Kaya ko ring
001074,3,PR.* RB.* VB.*,PRS RBI_CCP VBOF,ko ring ipakita,ko ring ipakita
001075,3,RB.* VB.* DT.*,RBI_CCP VBOF DTC,ring ipakita ang,ring ipakita ang
001076,4,CC.* PR.* RB.* VB.*,CCR PRS RBI_CCP VBOF,Kaya ko ring ipakita,Kaya ko ring ipakita
001077,4,PR.* RB.* VB.* DT.*,PRS RBI_CCP VBOF DTC,ko ring ipakita ang,ko ring ipakita ang
001078,4,RB.* VB.* DT.* CC.*,RBI_CCP VBOF DTC CCR,ring ipakita ang pag-iiba,ring ipakita ang pag-iiba
001079,4,VB.* DT.* CC.* PM.*,VBOF DTC CCR PMS,ipakita ang pag-iiba ng,ipakita ang pag-iiba ng
001080,4,DT.* CC.* PM.* JJ.*,DTC CCR PMS JJD,ang pag-iiba ng imahe,ang pag-iiba ng imahe
001081,4,CC.* PM.* JJ.* CC.*,CCR PMS JJD CCB,pag-iiba ng imahe ko,pag-iiba ng imahe ko
001082,4,PM.* JJ.* CC.* NN.*,PMS JJD CCB NNC,ng imahe ko sa,ng imahe ko sa
001083,4,JJ.* CC.* NN.* PR.*,JJD CCB NNC PRS,imahe ko sa entablado,imahe ko sa entablado
001084,4,CC.* NN.* PR.* CC.*,CCB NNC PRS CCT,ko sa entablado (tumawa).,ko sa entablado (tumawa).
001085,5,CC.* PR.* RB.* VB.* DT.*,CCR PRS RBI_CCP VBOF DTC,Kaya ko ring ipakita ang,Kaya ko ring ipakita ang
001086,5,PR.* RB.* VB.* DT.* CC.*,PRS RBI_CCP VBOF DTC CCR,ko ring ipakita ang pag-iiba,ko ring ipakita ang pag-iiba
001087,5,RB.* VB.* DT.* CC.* PM.*,RBI_CCP VBOF DTC CCR PMS,ring ipakita ang pag-iiba ng,ring ipakita ang pag-iiba ng
001088,5,VB.* DT.* CC.* PM.* JJ.*,VBOF DTC CCR PMS JJD,ipakita ang pag-iiba ng imahe,ipakita ang pag-iiba ng imahe
001089,5,DT.* CC.* PM.* JJ.* CC.*,DTC CCR PMS JJD CCB,ang pag-iiba ng imahe ko,ang pag-iiba ng imahe ko
001090,5,CC.* PM.* JJ.* CC.* NN.*,CCR PMS JJD CCB NNC,pag-iiba ng imahe ko sa,pag-iiba ng imahe ko sa
001091,5,PM.* JJ.* CC.* NN.* PR.*,PMS JJD CCB NNC PRS,ng imahe ko sa entablado,ng imahe ko sa entablado
001092,5,JJ.* CC.* NN.* PR.* CC.*,JJD CCB NNC PRS CCT,imahe ko sa entablado (tumawa).,imahe ko sa entablado (tumawa).
001093,6,CC.* PR.* RB.* VB.* DT.* CC.*,CCR PRS RBI_CCP VBOF DTC CCR,Kaya ko ring ipakita ang pag-iiba,Kaya ko ring ipakita ang pag-iiba
001094,6,PR.* RB.* VB.* DT.* CC.* PM.*,PRS RBI_CCP VBOF DTC CCR PMS,ko ring ipakita ang pag-iiba ng,ko ring ipakita ang pag-iiba ng
001095,6,RB.* VB.* DT.* CC.* PM.* JJ.*,RBI_CCP VBOF DTC CCR PMS JJD,ring ipakita ang pag-iiba ng imahe,ring ipakita ang pag-iiba ng imahe
001096,6,VB.* DT.* CC.* PM.* JJ.* CC.*,VBOF DTC CCR PMS JJD CCB,ipakita ang pag-iiba ng imahe ko,ipakita ang pag-iiba ng imahe ko
001097,6,DT.* CC.* PM.* JJ.* CC.* NN.*,DTC CCR PMS JJD CCB NNC,ang pag-iiba ng imahe ko sa,ang pag-iiba ng imahe ko sa
001098,6,CC.* PM.* JJ.* CC.* NN.* PR.*,CCR PMS JJD CCB NNC PRS,pag-iiba ng imahe ko sa entablado,pag-iiba ng imahe ko sa entablado
001099,6,PM.* JJ.* CC.* NN.* PR.* CC.*,PMS JJD CCB NNC PRS CCT,ng imahe ko sa entablado (tumawa).,ng imahe ko sa entablado (tumawa).
001100,7,CC.* PR.* RB.* VB.* DT.* CC.* PM.*,CCR PRS RBI_CCP VBOF DTC CCR PMS,Kaya ko ring ipakita ang pag-iiba ng,Kaya ko ring ipakita ang pag-iiba ng
001101,7,PR.* RB.* VB.* DT.* CC.* PM.* JJ.*,PRS RBI_CCP VBOF DTC CCR PMS JJD,ko ring ipakita ang pag-iiba ng imahe,ko ring ipakita ang pag-iiba ng imahe
001102,7,RB.* VB.* DT.* CC.* PM.* JJ.* CC.*,RBI_CCP VBOF DTC CCR PMS JJD CCB,ring ipakita ang pag-iiba ng imahe ko,ring ipakita ang pag-iiba ng imahe ko
001103,7,VB.* DT.* CC.* PM.* JJ.* CC.* NN.*,VBOF DTC CCR PMS JJD CCB NNC,ipakita ang pag-iiba ng imahe ko sa,ipakita ang pag-iiba ng imahe ko sa
001104,7,DT.* CC.* PM.* JJ.* CC.* NN.* PR.*,DTC CCR PMS JJD CCB NNC PRS,ang pag-iiba ng imahe ko sa entablado,ang pag-iiba ng imahe ko sa entablado
001105,7,CC.* PM.* JJ.* CC.* NN.* PR.* CC.*,CCR PMS JJD CCB NNC PRS CCT,pag-iiba ng imahe ko sa entablado (tumawa).,pag-iiba ng imahe ko sa entablado (tumawa).
001106,3,DT.* NN.* PR.*_PM.*,DTC NNC PRO_PMC,"ang melodiya nito,",ang melodiya nito
001107,4,RB.* RB.* DT.* NN.*,RBD RBI DTC NNC,Madali lang ang melodiya,Madali lang ang melodiya
001108,4,RB.* DT.* NN.* PR.*_PM.*,RBI DTC NNC PRO_PMC,"lang ang melodiya nito,",lang ang melodiya nito
001109,5,RB.* RB.* DT.* NN.* PR.*_PM.*,RBD RBI DTC NNC PRO_PMC,"Madali lang ang melodiya nito,",Madali lang ang melodiya nito
001110,3,PR.* PR.* NN.*,PRI PRO_CCP NNC,isa itong kanta,isa itong kanta
001111,3,RB.* VB.* CC.*,RBT_CCP VBW CCB,pwedeng makanta ng,pwedeng makanta ng
001112,3,VB.* CC.* PR.*_PM.*,VBW CCB PRI_PMP,makanta ng lahat.,makanta ng lahat.
001113,4,PR.* PR.* NN.* CC.*,PRI PRO_CCP NNC CCP,isa itong kanta na,isa itong kanta na
001114,4,PR.* NN.* CC.* RB.*,PRO_CCP NNC CCP RBT_CCP,itong kanta na pwedeng,itong kanta na pwedeng
001115,4,NN.* CC.* RB.* VB.*,NNC CCP RBT_CCP VBW,kanta na pwedeng makanta,kanta na pwedeng makanta
001116,4,CC.* RB.* VB.* CC.*,CCP RBT_CCP VBW CCB,na pwedeng makanta ng,na pwedeng makanta ng
001117,4,RB.* VB.* CC.* PR.*_PM.*,RBT_CCP VBW CCB PRI_PMP,pwedeng makanta ng lahat.,pwedeng makanta ng lahat.
001118,5,PR.* PR.* NN.* CC.* RB.*,PRI PRO_CCP NNC CCP RBT_CCP,isa itong kanta na pwedeng,isa itong kanta na pwedeng
001119,5,PR.* NN.* CC.* RB.* VB.*,PRO_CCP NNC CCP RBT_CCP VBW,itong kanta na pwedeng makanta,itong kanta na pwedeng makanta
001120,5,NN.* CC.* RB.* VB.* CC.*,NNC CCP RBT_CCP VBW CCB,kanta na pwedeng makanta ng,kanta na pwedeng makanta ng
001121,5,CC.* RB.* VB.* CC.* PR.*_PM.*,CCP RBT_CCP VBW CCB PRI_PMP,na pwedeng makanta ng lahat.,na pwedeng makanta ng lahat.
001122,6,PR.* PR.* NN.* CC.* RB.* VB.*,PRI PRO_CCP NNC CCP RBT_CCP VBW,isa itong kanta na pwedeng makanta,isa itong kanta na pwedeng makanta
001123,6,PR.* NN.* CC.* RB.* VB.* CC.*,PRO_CCP NNC CCP RBT_CCP VBW CCB,itong kanta na pwedeng makanta ng,itong kanta na pwedeng makanta ng
001124,6,NN.* CC.* RB.* VB.* CC.* PR.*_PM.*,NNC CCP RBT_CCP VBW CCB PRI_PMP,kanta na pwedeng makanta ng lahat.,kanta na pwedeng makanta ng lahat.
001125,7,PR.* PR.* NN.* CC.* RB.* VB.* CC.*,PRI PRO_CCP NNC CCP RBT_CCP VBW CCB,isa itong kanta na pwedeng makanta ng,isa itong kanta na pwedeng makanta ng
001126,7,PR.* NN.* CC.* RB.* VB.* CC.* PR.*_PM.*,PRO_CCP NNC CCP RBT_CCP VBW CCB PRI_PMP,itong kanta na pwedeng makanta ng lahat.,itong kanta na pwedeng makanta ng lahat.
001127,3,DT.* NN.* PR.*_PM.*,DTCP NNC PRO_PMC,"mga liriko nito,",mga liriko nito
001128,4,NN.* RB.* DT.* DT.*,NNP RBI DTC DTCP,Masaya din ang mga,Masaya din ang mga
001129,4,RB.* DT.* DT.* NN.*,RBI DTC DTCP NNC,din ang mga liriko,din ang mga liriko
001130,4,DT.* DT.* NN.* PR.*_PM.*,DTC DTCP NNC PRO_PMC,"ang mga liriko nito,",ang mga liriko nito
001131,5,NN.* RB.* DT.* DT.* NN.*,NNP RBI DTC DTCP NNC,Masaya din ang mga liriko,Masaya din ang mga liriko
001132,5,RB.* DT.* DT.* NN.* PR.*_PM.*,RBI DTC DTCP NNC PRO_PMC,"din ang mga liriko nito,",din ang mga liriko nito
001133,6,NN.* RB.* DT.* DT.* NN.* PR.*_PM.*,NNP RBI DTC DTCP NNC PRO_PMC,"Masaya din ang mga liriko nito,",Masaya din ang mga liriko nito
001134,3,CC.* NN.* PR.*_PM.*,CCT NNC PRO_PMC,"sa pagkanta nito,",sa pagkanta nito
001135,4,CC.* VB.* PR.* CC.*,CCR VBTF PRP CCT,kung masisiyahan kayo sa,kung masisiyahan kayo sa
001136,4,VB.* PR.* CC.* NN.*,VBTF PRP CCT NNC,masisiyahan kayo sa pagkanta,masisiyahan kayo sa pagkanta
001137,4,PR.* CC.* NN.* PR.*_PM.*,PRP CCT NNC PRO_PMC,"kayo sa pagkanta nito,",kayo sa pagkanta nito
001138,5,CC.* CC.* VB.* PR.* CC.*,CCR CCR VBTF PRP CCT,kaya kung masisiyahan kayo sa,kaya kung masisiyahan kayo sa
001139,5,CC.* VB.* PR.* CC.* NN.*,CCR VBTF PRP CCT NNC,kung masisiyahan kayo sa pagkanta,kung masisiyahan kayo sa pagkanta
001140,5,VB.* PR.* CC.* NN.* PR.*_PM.*,VBTF PRP CCT NNC PRO_PMC,"masisiyahan kayo sa pagkanta nito,",masisiyahan kayo sa pagkanta nito
001141,6,CC.* CC.* VB.* PR.* CC.* NN.*,CCR CCR VBTF PRP CCT NNC,kaya kung masisiyahan kayo sa pagkanta,kaya kung masisiyahan kayo sa pagkanta
001142,6,CC.* VB.* PR.* CC.* NN.* PR.*_PM.*,CCR VBTF PRP CCT NNC PRO_PMC,"kung masisiyahan kayo sa pagkanta nito,",kung masisiyahan kayo sa pagkanta nito
001143,7,CC.* CC.* VB.* PR.* CC.* NN.* PR.*_PM.*,CCR CCR VBTF PRP CCT NNC PRO_PMC,"kaya kung masisiyahan kayo sa pagkanta nito,",kaya kung masisiyahan kayo sa pagkanta nito
001144,3,JJ.* JJ.* NN.*,JJCC JJD_CCP NNC,mas maraming bahagi,mas maraming bahagi
