Pattern_ID,Final_Hybrid_N-Gram
500063,PR.* LM RB.* RB.* PR.*
500064,RB.* RB.* PR.* VB.* CC.*
500065,RB.* PR.* VB.* CC.* NN.*
500066,PR.* VB.* CC.* NN.* CC.*
500067,CC.* NN.* CC.* RB.* RB.*
500068,RB.* PR.* VB.* CC.* VB.*
500069,NN.* CC.* RB.* RB.* PR.*
500070,CC.* RB.* RB.* PR.* VB.*
500071,VB.* CC.* VB.* DT.* PR.*
500072,CC.* VB.* PR.* CC.* NN.*_PM.*
500073,VB.* PR.* VB.* CC.* DT.*
500074,PR.* VB.* CC.* DT.* NN.*
500075,NN.* CC.* NN.* CC.* VB.*
500076,CC.* NN.* CC.* VB.* NN.*_PM.*
500077,DT.* NN.* CC.* VB.* CC.*
500078,DT.* NN.* LM RB.* VB.*
500079,NN.* LM RB.* VB.* CC.*
500080,DT.* PR.* NN.* CC.* NN.*
500081,NN.* CC.* NN.* CC.* DT.*
500082,CC.* DT.* NN.* CC.* NN.*_PM.*
500083,CC.* DT.* NN.* LM VB.*
500084,DT.* NN.* LM VB.* CC.*
500085,VB.* CC.* NN.* CC.* NN.*
500086,CC.* DT.* NN.* CC.* DT.*
500087,DT.* NN.* CC.* DT.* NN.*
500088,NN.* CC.* DT.* NN.* NN.*_PM.*
500089,CC.* NN.* PM.* NN.* LM
500090,CC.* NN.* RB.* RB.* VB.*
500091,NN.* RB.* RB.* VB.* DT.*
500092,VB.* DT.* DT.* NN.* PM.*
500093,DT.* NN.* PM.* NN.* CC.*
500094,NN.* PM.* NN.* CC.* DT.*
500095,PM.* NN.* CC.* DT.* NN.*
500096,NN.* CC.* DT.* NN.* CC.*
500277,NN.* sa mga tsekwa na
500097,RB.* RB.* CC.* NN.* DT.*
500098,RB.* CC.* NN.* DT.* NN.*
500099,DT.* NN.* CC.* NN.* NN.*
500100,NN.* CC.* NN.* NN.* PM.*
500101,CC.* NN.* NN.* PM.* NN.*
500102,DT.* JJ.* CC.* NN.* CC.*
500103,NN.* CC.* VB.* DT.* NN.*
500278,NN.* na malabanan ang araw-
500104,DT.* NN.* NN.* PM.* NN.*
500279,DT.* sa aking mga paa.
500105,JJ.* CC.* NN.* CC.* CC.*
500106,NN.* PM.* NN.* CC.* NN.*
500107,DT.* NN.* CC.* NN.* PR.*
500108,NN.* NN.* PM.* NN.* VB.*
500280,NN.* halamang-singaw PM.* Paunang VB.*
500109,NN.* PM.* NN.* VB.* CC.*
500110,DT.* VB.* CC.* VB.* PR.*
500111,VB.* PR.* PR.* NN.* NN.*
500112,PR.* PR.* NN.* NN.* PM.*
500113,PR.* NN.* NN.* PM.* NN.*
500114,NN.* NN.* PM.* NN.* CC.*
500115,NN.* PM.* NN.* CC.* PR.*
500116,PM.* NN.* CC.* PR.* DT.*
500117,NN.* CC.* PR.* DT.* NN.*
500118,NN.* NN.* PM.* NN.* LM
500119,NN.* CC.* NN.* PM.* NN.*
500120,CC.* NN.* PM.* NN.* CC.*
500121,CC.* DT.* NN.* NN.* NN.*
500122,DT.* NN.* NN.* NN.* PM.*
500123,CC.* NN.* CC.* NN.* PM.*
500124,JJ.* NN.* CC.* NN.* PM.*
500125,PM.* NN.* CC.* NN.* RB.*
500126,NN.* CC.* NN.* RB.* RB.*
500127,CC.* VB.* CC.* NN.* CC.*
500128,DT.* NN.* VB.* CC.* NN.*
500129,VB.* RB.* RB.* VB.* DT.*
500130,RB.* RB.* VB.* DT.* NN.*
500131,CC.* DT.* NN.* CC.* VB.*
500132,DT.* NN.* CC.* VB.* DT.*
500133,CC.* VB.* DT.* NN.* PM.*
500134,JJ.* CC.* VB.* CC.* DT.*
500135,VB.* CC.* CC.* DT.* NN.*_PM.*
500136,DT.* VB.* CC.* DT.* NN.*
500137,RB.* VB.* DT.* NN.* CC.*
500138,CC.* VB.* DT.* JJ.* CC.*
500139,VB.* DT.* JJ.* CC.* VB.*
500140,DT.* JJ.* CC.* VB.* CC.*
500141,JJ.* CC.* VB.* CC.* NN.*_PM.*
500281,"JJ.* na VB.* na densidad,"
500282,JJ.* na VB.* na densidad
500142,PR.* JJ.* NN.* DT.* VB.*
500143,JJ.* NN.* DT.* VB.* CC.*
500144,RB.* VB.* CC.* PR.* JJ.*
500283,"RB.* VB.* ng isang napaka-kumplikado,"
500284,RB.* VB.* ng isang napaka-kumplikado
500145,VB.* CC.* DT.* NN.* LM
500146,PR.* DT.* NN.* CC.* VB.*
500147,NN.* CC.* JJ.* NN.* CC.*
500148,NN.* LM VB.* CC.* JJ.*
500149,NN.* CD.* NN.* DT.* NN.*
500285,NN.* (1) NN.* (24) NN.*
500150,CD.* NN.* DT.* NN.* CC.*
500286,CD.* NN.* DT.* NN.* CC.*
500151,NN.* DT.* NN.* CC.* NN.*
500287,NN.* (24) NN.* CC.* (1.
500152,NN.* CC.* NN.* NN.* CD.*
500288,NN.* (5) mga halimbawa ng
500153,CC.* NN.* NN.* CD.* NN.*
500289,CC.* (8) NN.* (1) NN.*
500154,NN.* NN.* CD.* NN.* DT.*
500155,NN.* CC.* NN.* PR.* CC.*
500156,DT.* NN.* DT.* NN.* PR.*
500157,VB.* PR.* CC.* PR.* NN.*
500158,PR.* CC.* PR.* NN.* CC.*
500159,CCT CCT NNC CCB DTCP
500160,CCT NNC CCB DTCP NNC
500161,CCB DTCP NNC CCT NNC
500162,DTCP NNC CCT NNC CCB
500163,RBK RBQ VBW DTC DTCP
500164,DTC CCR PMS JJD CCB
500290,DTC pag-kakahiwahiwalay ng mga CCB
500165,CCR VBS LM VBTF PRP
500166,DTC NNC CCP PRO LM
500167,CCR VBTR PRS CCB NNP_PMC
500168,VBS PRS_CCP VBAF CCB DTCP
500169,PRS_CCP VBAF CCB DTCP NNC
500170,VBAF CCB DTCP NNC CCB
500171,DTCP NNC CCB NNC CCT
500172,NNC CCT NNC CCB VBN_CCP
500173,CCT NNC CCB VBN_CCP NNC_PMP
500174,NNC LM RBM VBAF CCT
500175,NNC CCT NNC CCB DTCP
500176,DTC NNC LM VBTR CCB
500177,CCB NNC_CCP PMS NNC LM
500178,CCT NNC RBK RBQ VBOF
500179,DTCP NNC_CCP PMS NNC CCT
500180,NNC_CCP PMS NNC CCT DTCP
500181,PMS NNC CCT DTCP NNC
500182,NNC CCT DTCP NNC CCB
500183,CCT DTCP NNC CCB DTCP
500184,NNC CCT NNC NNC_CCP PMS
500185,CCT NNC NNC_CCP PMS NNC
500186,NNC_CCP PMS NNC CCT NNC
500187,NNC NNC_CCP PMS NNC VBW
500291,NNC halamang-singaw PMS Paunang VBW
500188,NNC_CCP PMS NNC VBW CCT
500189,VBH PRS_CCP PRI_CCP NNC NNC_CCP
500190,PRS_CCP PRI_CCP NNC NNC_CCP PMS
500191,PRI_CCP NNC NNC_CCP PMS NNC
500192,NNC NNC_CCP PMS NNC CCT
500193,NNC_CCP PMS NNC CCT PRSP_CCP
500194,PMS NNC CCT PRSP_CCP DTCP
500195,NNC CCT PRSP_CCP DTCP NNC
500196,NNC NNC_CCP PMS NNC LM
500197,NNC CCB NNC_CCP PMS NNC
500198,CCB NNC_CCP PMS NNC CCT
500199,DTCP NNC NNC NNC_CCP PMS
500200,JJD CCP NNC CCT CCT
500201,PMS NNC CCT NNC RBK
500202,NNC CCT NNC RBK RBQ
500203,RBK RBQ VBTF DTC NNC
500204,VBW CCT CCT DTCP NNC_PMP
500205,CCB VBW DTC JJCS_JJD CCP
500206,VBW DTC JJCS_JJD CCP VBAF
500207,DTC JJCS_JJD CCP VBAF CCP
500208,JJCS_JJD CCP VBAF CCP NNC_PMC
500292,"JJCS_JJD na VBAF na densidad,"
500293,JJCS_JJD na VBAF na densidad
500209,VBH PRO_CCP DTCP NNC CCP
500210,NNPA CDB NNPA DTCP NNC
500294,NNPA (1) NNPA (24) NNC
500211,CDB NNPA DTCP NNC CCB
500295,CDB NNPA DTCP NNC CCB
500212,NNPA DTCP NNC CCB NNC
500296,NNPA (24) NNC CCB (1.
500213,DTCP NNC CCB NNC NNPA
500214,NNC CCB NNC NNPA CDB
500297,NNC (5) mga halimbawa ng
500215,CCB NNC NNPA CDB NNPA
500298,CCB (8) NNPA (1) NNPA
500216,NNC NNPA CDB NNPA DTCP
500217,CC.* CC.* NNC CCB DTCP
500218,CC.* NN.* CCB DTCP NNC
500219,CC.* DT.* NNC CC.* NNC
500220,DT.* NN.* CCT NNC CCB
500221,RB.* RB.* VB.* DTC DTCP
500222,DT.* CCR PM.* JJD CCB
500299,DT.* pag-kakahiwahiwalay ng mga CCB
500223,CC.* VB.* LM VBTF PRP
500224,DT.* NN.* CC.* PRO LM
500225,CC.* VBTR PRS CCB NNP_PMC
500226,VB.* PRS_CCP VBAF CCB DTCP
500227,PR.* VB.* CCB DTCP NNC
500228,VB.* CC.* DTCP NNC CCB
500229,DT.* NN.* CCB NNC CCT
500230,NN.* CC.* NNC CCB VBN_CCP
500231,CC.* NN.* CCB VBN_CCP NNC_PMP
500232,NN.* LM RBM VBAF CCT
500233,NN.* CC.* NNC CCB DTCP
500234,DT.* NN.* LM VBTR CCB
500235,CC.* NN.* PMS NNC LM
500236,CC.* NN.* RB.* RBQ VBOF
500237,DT.* NN.* PMS NNC CCT
500238,NN.* PM.* NNC CCT DTCP
500239,PM.* NN.* CCT DTCP NNC
500240,NN.* CC.* DTCP NNC CCB
500241,CC.* DT.* NNC CCB DTCP
500242,NN.* CC.* NNC NNC_CCP PMS
500243,CC.* NN.* NNC_CCP PMS NNC
500244,NN.* PM.* NNC CCT NNC
500245,NN.* NN.* PMS NNC VBW
500300,NN.* halamang-singaw PMS Paunang VBW
500246,NN.* PM.* NNC VBW CCT
500247,VB.* PR.* PRI_CCP NNC NNC_CCP
500248,PR.* PR.* NNC NNC_CCP PMS
500249,PR.* NN.* NNC_CCP PM.* NNC
500250,NN.* NN.* PMS NNC CCT
500251,NN.* PM.* NNC CCT PRSP_CCP
500252,PM.* NNC CCT PRSP_CCP DTCP
500253,NN.* CC.* PRSP_CCP DTCP NNC
500254,NN.* NN.* PMS NN.* LM
500255,NN.* CC.* NNC_CCP PMS NNC
500256,CC.* NN.* PMS NNC CCT
500257,DT.* NN.* NNC NNC_CCP PMS
500258,JJ.* CCP NN.* CCT CCT
500259,PM.* NN.* CC.* NNC RBK
500260,NN.* CC.* NN.* RBK RBQ
500261,RB.* RB.* VB.* DTC NNC
500262,VB.* CC.* CCT DTCP NNC_PMP
500263,CCB VB.* DTC JJCS_JJD CCP
500264,VB.* PR.* DTCP NNC CCP
500265,NN.* CD.* NN.* DTCP NNC
500301,NN.* (1) NN.* (24) NNC
500266,CD.* NN.* DTCP NNC CCB
500302,CD.* NN.* DTCP NNC CCB
500267,NN.* DT.* NNC CCB NNC
500303,NN.* (24) NNC CCB (1.
500268,DT.* NN.* CCB NNC NNPA
500269,NN.* CC.* NNC NNPA CDB
500270,CC.* NN.* NN.* CDB NNPA
500304,CC.* (8) NN.* (1) NNPA
500271,NN.* NN.* CD.* NNPA DTCP
600001,CC.* CC.* NN.* CC.* DT.* NN.*
600002,JJ.* CC.* VB.* DT.* DT.* NN.*
600003,VB.* DT.* DT.* NN.* CC.* PR.*
600164,VB.* ang mga singkit sa kanilang
600004,DT.* NN.* CC.* PR.* NN.* CC.*
600005,NN.* CC.* VB.* CC.* DT.* NN.*
600006,CC.* VB.* CC.* DT.* NN.* CC.*
600007,VB.* CC.* DT.* NN.* CC.* NN.*
600008,CC.* DT.* NN.* CC.* NN.* CC.*
600009,DT.* NN.* CC.* NN.* CC.* NN.*_PM.*
600010,RB.* RB.* VB.* DT.* DT.* NN.*
600165,RB.* ang mga halamang-singaw sa NN.*
600011,RB.* VB.* DT.* DT.* NN.* CC.*
600166,RB.* naglipana ang mga singkit sa
600012,NN.* CC.* CC.* NN.* CC.* DT.*
600013,JJ.* CC.* NN.* CC.* VB.* CC.*
600014,PR.* RB.* RB.* DT.* VB.* PR.*_PM.*
600015,DT.* PR.* NN.* DT.* VB.* CC.*
600016,CC.* VB.* DT.* PR.* CC.* DT.*
600017,CC.* CC.* VB.* PR.* CC.* NN.*
600018,CC.* PR.* DT.* NN.* CC.* PR.*
600019,PR.* LM VB.* CC.* VB.* JJ.*
600020,VB.* CC.* PR.* NN.* CC.* CC.*
600021,PR.* NN.* CC.* CC.* PR.* LM
600022,VB.* PR.* CC.* RB.* VB.* DT.*
600167,VB.* PR.* na RB.* naglipana ang
600023,CC.* CC.* PR.* LM RB.* RB.*
600024,CC.* PR.* LM RB.* RB.* PR.*
600025,RB.* PR.* VB.* CC.* NN.* CC.*
600026,RB.* RB.* PR.* VB.* CC.* VB.*
600168,RB.* siya nagseselos kasi alam VB.*
600027,NN.* CC.* RB.* RB.* PR.* VB.*
600028,VB.* PR.* VB.* CC.* DT.* NN.*
600029,PR.* VB.* CC.* DT.* NN.* CC.*
600030,DT.* NN.* CC.* NN.* CC.* NN.*
600031,CC.* NN.* CC.* NN.* CC.* VB.*
600032,NN.* CC.* NN.* CC.* VB.* NN.*_PM.*
600033,DT.* NN.* CC.* VB.* CC.* DT.*
600034,DT.* NN.* LM RB.* VB.* CC.*
600035,CC.* DT.* NN.* LM VB.* CC.*
600036,VB.* CC.* NN.* CC.* NN.* CC.*
600037,CC.* DT.* NN.* CC.* DT.* NN.*
600169,CC.* ng mga kamay DT.* halamang-singaw
600038,DT.* NN.* CC.* DT.* NN.* NN.*_PM.*
600039,CC.* NN.* RB.* RB.* VB.* DT.*
600040,NN.* RB.* RB.* VB.* DT.* DT.*
600041,RB.* VB.* DT.* DT.* NN.* PM.*
600170,"RB.* mga halamang-singaw sa NN.* forum,"
600042,NN.* PM.* NN.* CC.* DT.* NN.*
600171,NN.* sa mga kamay DT.* NN.*
600043,PM.* NN.* CC.* DT.* NN.* CC.*
600044,NN.* CC.* DT.* NN.* CC.* DT.*
600045,RB.* RB.* CC.* NN.* DT.* NN.*
600046,NN.* DT.* NN.* CC.* NN.* NN.*
600047,NN.* CC.* NN.* NN.* PM.* NN.*
600172,NN.* sa NN.* halamang-singaw ang NN.*
600173,NN.* sa NN.* halamang-singaw kit para
600048,DT.* JJ.* CC.* NN.* CC.* CC.*
600049,NN.* PM.* NN.* CC.* NN.* CC.*
600174,NN.* sa NN.* ng mga CC.*
600050,CC.* NN.* CC.* DT.* NN.* CC.*
600051,NN.* NN.* PM.* NN.* VB.* CC.*
600175,NN.* halamang-singaw PM.* sa mga bata
600176,NN.* halamang-singaw PM.* sa kanyang mga
600052,VB.* PR.* PR.* NN.* NN.* PM.*
600177,VB.* kang isang NN.* halamang-singaw sa
600053,PR.* PR.* NN.* NN.* PM.* NN.*
600178,PR.* halamang-singaw ay para lamang sa
600054,NN.* NN.* PM.* NN.* CC.* PR.*
600179,NN.* halamang-singaw sa aking mga PR.*
600055,NN.* PM.* NN.* CC.* PR.* DT.*
600180,NN.* sa kanyang mga PR.* DT.*
600056,PM.* NN.* CC.* PR.* DT.* NN.*
600057,NN.* CC.* NN.* PM.* NN.* CC.*
600181,NN.* ng halamang-singaw sa mga kamay
600182,NN.* sa NN.* kung paano CC.*
600183,NN.* sa NN.* ng mga tanong
600058,CC.* NN.* PM.* NN.* CC.* DT.*
600059,NN.* CC.* DT.* NN.* NN.* NN.*
600060,CC.* DT.* NN.* NN.* NN.* PM.*
600061,DT.* NN.* NN.* NN.* PM.* NN.*
600184,DT.* halamang-singaw sa iyong mga NN.*
600185,DT.* halamang-singaw NN.* NN.* PM.* Paggamot.
600062,JJ.* CC.* NN.* CC.* CC.* NN.*
600063,CC.* NN.* CC.* CC.* NN.* CC.*
600064,CC.* NN.* CC.* NN.* PM.* NN.*
600065,CC.* NN.* PM.* NN.* CC.* NN.*
600066,NN.* PM.* NN.* CC.* NN.* RB.*
600186,NN.* sa NN.* kung paano RB.*
600067,PM.* NN.* CC.* NN.* RB.* RB.*
600068,NN.* CC.* NN.* RB.* RB.* VB.*
600069,VB.* RB.* RB.* VB.* DT.* NN.*
600070,VB.* CC.* DT.* NN.* CC.* VB.*
600071,CC.* DT.* NN.* CC.* VB.* DT.*
600072,DT.* NN.* CC.* VB.* DT.* NN.*
600073,JJ.* CC.* VB.* CC.* DT.* NN.*
600074,RB.* RB.* VB.* DT.* NN.* CC.*
600075,CC.* VB.* DT.* JJ.* CC.* VB.*
600076,VB.* DT.* JJ.* CC.* VB.* CC.*
600077,DT.* JJ.* CC.* VB.* CC.* NN.*_PM.*
600187,"DT.* JJ.* na VB.* na densidad,"
600078,PR.* JJ.* NN.* DT.* VB.* CC.*
600079,VB.* PR.* DT.* NN.* CC.* VB.*
600080,PR.* DT.* NN.* CC.* VB.* CC.*
600081,NN.* CD.* NN.* DT.* NN.* CC.*
600188,NN.* mga halimbawa ng NN.* CC.*
600189,NN.* (5) mga halimbawa ng CC.*
600190,NN.* (1) NN.* (24) NN.* CC.*
600082,CD.* NN.* DT.* NN.* CC.* NN.*
600191,CD.* mga halimbawa ng CC.* NN.*
600083,DT.* NN.* CC.* NN.* NN.* CD.*
600192,DT.* mga halimbawa ng NN.* CD.*
600084,NN.* CC.* NN.* NN.* CD.* NN.*
600193,NN.* (5) mga halimbawa ng NN.*
600085,CC.* NN.* NN.* CD.* NN.* DT.*
600194,CC.* mga halimbawa ng NN.* DT.*
600195,CC.* (8) NN.* (1) NN.* (24)
600086,NN.* NN.* CD.* NN.* DT.* NN.*
600087,VB.* PR.* CC.* PR.* NN.* CC.*
600088,CCT CCT NNC CCB DTCP NNC
600089,NNC CCT CCT NNC CCB DTCP
600090,VBS PRS_CCP VBAF CCB DTCP NNC
600091,PRS_CCP VBAF CCB DTCP NNC CCB
600092,VBAF CCB DTCP NNC CCB NNC
600093,CCB DTCP NNC CCB NNC CCT
600094,DTCP NNC CCB NNC CCT NNC
600095,CCB NNC CCT NNC CCB VBN_CCP
600096,NNC CCT NNC CCB VBN_CCP NNC_PMP
600097,NNC_CCP PMS NNC CCT DTCP NNC
600196,NNC_CCP sa mga kamay DTCP NNC
600098,PMS NNC CCT DTCP NNC CCB
600099,NNC CCT DTCP NNC CCB DTCP
600100,CCT DTCP NNC CCB DTCP NNC
600197,CCT ng mga kamay DTCP halamang-singaw
600101,NNC CCT NNC NNC_CCP PMS NNC
600198,NNC sa NNC halamang-singaw ang NNC
600199,NNC sa NNC halamang-singaw kit para
600102,NNC NNC_CCP PMS NNC VBW CCT
600200,NNC halamang-singaw PMS sa mga bata
600201,NNC halamang-singaw PMS sa kanyang mga
600103,VBH PRS_CCP PRI_CCP NNC NNC_CCP PMS
600202,VBH kang isang NNC halamang-singaw sa
600104,PRS_CCP PRI_CCP NNC NNC_CCP PMS NNC
600203,PRS_CCP halamang-singaw ay para lamang sa
600105,NNC NNC_CCP PMS NNC CCT PRSP_CCP
600204,NNC halamang-singaw sa aking mga PRSP_CCP
600106,NNC_CCP PMS NNC CCT PRSP_CCP DTCP
600205,NNC_CCP sa kanyang mga PRSP_CCP DTCP
600107,PMS NNC CCT PRSP_CCP DTCP NNC
600108,NNC CCB NNC_CCP PMS NNC CCT
600206,NNC ng halamang-singaw sa mga kamay
600207,NNC sa NNC_CCP kung paano CCT
600109,CCB NNC_CCP PMS NNC CCT DTCP
600110,DTCP NNC NNC NNC_CCP PMS NNC
600208,DTCP halamang-singaw sa iyong mga NNC
600209,DTCP halamang-singaw NNC NNC_CCP PMS Paggamot.
600111,JJD CCP NNC CCT CCT NNC
600112,CCP NNC CCT CCT NNC CCB
600113,CCB NNC_CCP PMS NNC CCT NNC
600114,NNC_CCP PMS NNC CCT NNC RBK
600210,NNC_CCP sa NNC kung paano RBK
600115,PMS NNC CCT NNC RBK RBQ
600116,CCB VBW DTC JJCS_JJD CCP VBAF
600117,VBW DTC JJCS_JJD CCP VBAF CCP
600118,DTC JJCS_JJD CCP VBAF CCP NNC_PMC
600211,"DTC JJCS_JJD na VBAF na densidad,"
600119,NNPA CDB NNPA DTCP NNC CCB
600212,NNPA mga halimbawa ng NNC CCB
600213,NNPA (5) mga halimbawa ng CCB
600214,NNPA (1) NNPA (24) NNC CCB
600120,CDB NNPA DTCP NNC CCB NNC
600215,CDB mga halimbawa ng CCB NNC
600121,NNPA DTCP NNC CCB NNC NNPA
600122,DTCP NNC CCB NNC NNPA CDB
600216,DTCP mga halimbawa ng NNPA CDB
600123,NNC CCB NNC NNPA CDB NNPA
600217,NNC (5) mga halimbawa ng NNPA
600124,CCB NNC NNPA CDB NNPA DTCP
600218,CCB mga halimbawa ng NNPA DTCP
600219,CCB (8) NNPA (1) NNPA (24)
600125,NNC NNPA CDB NNPA DTCP NNC
600126,CC.* CC.* NNC CCB DTCP NN.*
600127,NN.* CC.* CCT NNC CCB DT.*
600128,VB.* PR.* VBAF CCB DTCP NN.*
600129,PR.* VB.* CCB DTCP NNC CC.*
600130,VB.* CC.* DTCP NNC CCB NN.*
600131,CC.* DT.* NNC CCB NNC CC.*
600132,DT.* NN.* CCB NNC CCT NN.*
600133,CC.* NN.* CCT NNC CCB VB.*
600134,NN.* CC.* NNC CCB VBN_CCP NN.*_PM.*
600135,NN.* PM.* NNC CCT DTCP NN.*
600220,NN.* sa mga kamay DTCP NN.*
600136,PM.* NN.* CCT DTCP NNC CC.*
600137,NN.* CC.* DTCP NNC CCB DT.*
600138,NN.* CC.* NNC NN.* PMS NNC
600221,NN.* sa NNC halamang-singaw ang NNC
600222,NN.* sa NNC halamang-singaw kit para
600139,NN.* NN.* PMS NNC VBW CCT
600223,NN.* halamang-singaw PMS sa mga bata
600224,NN.* halamang-singaw PMS sa kanyang mga
600140,VB.* PR.* PRI_CCP NNC NNC_CCP PM.*
600225,VB.* kang isang NNC halamang-singaw sa
600141,PR.* PR.* NNC NN.* PMS NNC
600142,NN.* NN.* PMS NNC CCT PRSP_CCP
600226,NN.* halamang-singaw sa aking mga PRSP_CCP
600143,NN.* PM.* NNC CCT PRSP_CCP DT.*
600227,NN.* sa kanyang mga PRSP_CCP DT.*
600144,PM.* NN.* CCT PRSP_CCP DTCP NN.*
600145,NN.* CC.* NNC_CCP PMS NNC CC.*
600228,NN.* sa NNC_CCP kung paano CC.*
600146,CC.* NN.* PMS NNC CCT DT.*
600147,DT.* NN.* NNC NN.* PMS NNC
600229,DT.* halamang-singaw sa iyong mga NNC
600230,DT.* halamang-singaw NNC NN.* PMS Paggamot.
600148,JJ.* CC.* NN.* CCT CCT NN.*
600149,CC.* NN.* CCT CCT NNC CC.*
600150,CC.* NN.* PMS NN.* CCT NNC
600151,NN.* PM.* NNC CCT NNC RB.*
600231,NN.* sa NNC kung paano RB.*
600152,PM.* NN.* CC.* NNC RBK RB.*
600153,CCB VBW DTC JJCS_JJD CCP VB.*
600154,VBW DTC JJCS_JJD CCP VBAF CC.*
600155,DTC JJCS_JJD CCP VBAF CCP NN.*_PM.*
600156,NN.* CD.* NNPA DTCP NNC CC.*
600232,NN.* mga halimbawa ng NNC CC.*
600233,NN.* (1) NNPA (24) NNC CC.*
600157,CD.* NN.* DTCP NNC CCB NN.*
600234,CD.* mga halimbawa ng CCB NN.*
600158,NN.* DT.* NNC CCB NNC NN.*
600159,DT.* NN.* CCB NNC NNPA CD.*
600235,DT.* mga halimbawa ng NNPA CD.*
600160,NN.* CC.* NNC NNPA CDB NN.*
600161,CC.* NN.* NN.* CDB NNPA DT.*
600236,CC.* mga halimbawa ng NNPA DT.*
600237,CC.* (8) NN.* (1) NNPA (24)
600162,NN.* NN.* CD.* NNPA DTCP NN.*
700001,NN.* CC.* VB.* CC.* DT.* NN.* CC.*
700002,VB.* CC.* DT.* NN.* CC.* NN.* CC.*
700096,VB.* ng mga NN.* sa loob ng
700003,CC.* CC.* PR.* LM RB.* RB.* PR.*
700004,VB.* PR.* VB.* CC.* DT.* NN.* CC.*
700005,PR.* VB.* CC.* DT.* NN.* CC.* NN.*
700006,CC.* DT.* NN.* CC.* NN.* CC.* NN.*
700097,CC.* sa NN.* ng pakikipag-usap sa NN.*
700007,DT.* NN.* CC.* NN.* CC.* NN.* CC.*
700008,NN.* CC.* NN.* CC.* NN.* CC.* VB.*
700009,CC.* NN.* CC.* NN.* CC.* VB.* NN.*_PM.*
700010,CC.* DT.* NN.* CC.* DT.* NN.* NN.*_PM.*
700098,"CC.* mga Larawan CC.* mga NN.* Bulalakaw,"
700099,CC.* mga Larawan ng mga NN.* Bulalakaw
700011,CC.* NN.* RB.* RB.* VB.* DT.* DT.*
700012,NN.* RB.* RB.* VB.* DT.* DT.* NN.*
700100,NN.* kung paano VB.* ang mga halamang-singaw
700101,NN.* RB.* ang mga halamang-singaw sa NN.*
700013,RB.* RB.* VB.* DT.* DT.* NN.* PM.*
700102,"RB.* ang mga halamang-singaw sa NN.* forum,"
700103,RB.* ang mga halamang-singaw sa NN.* PM.*
700014,NN.* PM.* NN.* CC.* DT.* NN.* CC.*
700104,NN.* sa mga CC.* ng mga CC.*
700105,NN.* sa mga CC.* ng mga kamay
700015,PM.* NN.* CC.* DT.* NN.* CC.* DT.*
700016,NN.* CC.* DT.* NN.* CC.* DT.* NN.*
700106,NN.* CC.* ng NN.* kamay DT.* halamang-singaw
700017,VB.* PR.* PR.* NN.* NN.* PM.* NN.*
700107,VB.* PR.* halamang-singaw ay para lamang sa
700018,NN.* NN.* PM.* NN.* CC.* PR.* DT.*
700019,NN.* PM.* NN.* CC.* PR.* DT.* NN.*
700108,NN.* sa aking mga PR.* Mayroon akong
700109,NN.* sa kanyang mga PR.* DT.* presyo
700020,NN.* CC.* NN.* PM.* NN.* CC.* DT.*
700110,NN.* ng halamang-singaw sa mga kamay DT.*
700021,CC.* NN.* PM.* NN.* CC.* DT.* NN.*
700111,CC.* halamang-singaw sa mga kamay DT.* halamang-singaw
700022,NN.* CC.* DT.* NN.* NN.* NN.* PM.*
700112,NN.* kamay DT.* halamang-singaw sa iyong PM.*
700113,NN.* kamay DT.* halamang-singaw NN.* NN.* PM.*
700023,CC.* DT.* NN.* NN.* NN.* PM.* NN.*
700114,CC.* DT.* halamang-singaw NN.* NN.* PM.* Paggamot.
700024,JJ.* CC.* NN.* CC.* CC.* NN.* CC.*
700115,JJ.* na NN.* para sa NN.* ng
700025,CC.* NN.* CC.* NN.* PM.* NN.* CC.*
700116,CC.* NN.* ng halamang-singaw PM.* mga kamay
700117,CC.* pakikipag-usap sa NN.* PM.* mga tanong
700026,CC.* NN.* PM.* NN.* CC.* NN.* RB.*
700118,CC.* halamang-singaw sa NN.* kung paano RB.*
700027,NN.* PM.* NN.* CC.* NN.* RB.* RB.*
700119,NN.* kung paano CC.* ang isang RB.*
700120,NN.* sa NN.* kung paano RB.* ang
700028,PM.* NN.* CC.* NN.* RB.* RB.* VB.*
700121,PM.* paano CC.* ang isang kuba kuko.
700029,VB.* CC.* DT.* NN.* CC.* VB.* DT.*
700030,CC.* DT.* NN.* CC.* VB.* DT.* NN.*
700031,CC.* VB.* DT.* JJ.* CC.* VB.* CC.*
700032,VB.* DT.* JJ.* CC.* VB.* CC.* NN.*_PM.*
700122,"VB.* ang JJ.* na VB.* na densidad,"
700123,VB.* ang JJ.* CC.* VB.* CC.* densidad
700033,VB.* PR.* DT.* NN.* CC.* VB.* CC.*
700124,VB.* itong mga alon na nagdudugtong ng
700034,NN.* CD.* NN.* DT.* NN.* CC.* NN.*
700125,NN.* mga halimbawa ng NN.* CC.* mga
700126,NN.* ng NN.* (5) mga CC.* ng
700127,NN.* (5) mga halimbawa ng CC.* (8)
700128,NN.* (1) NN.* (24) NN.* CC.* (1.
700035,CD.* NN.* DT.* NN.* CC.* NN.* NN.*
700129,CD.* halimbawa ng NN.* (5) NN.* halimbawa
700130,CD.* NN.* (5) mga halimbawa NN.* NN.*
700036,NN.* DT.* NN.* CC.* NN.* NN.* CD.*
