General POS,Detailed POS
NN.*_,NNPA_
CC.* FW PM.* NN.* CC.* DT.* NN.*_PM.*,CCT FW PMS NNC CCP DTCP NNC_PMP
VB.* DT.* NN.*_PM.*,VBS DTP NNP_PMC
PM.*_ VB.* PR.* CC.* RB.* VB.* CC.* RB.* NN.* CC.* VB.* CC.* NN.* DT.* VB.* CC.* NN.* CC.* NN.*_PM.*,PMS_ VBTR PRS CCP RBF VBTS CCT RBW_CCP NNC CCP VBOF CCT NNC DTC VBAF CCB NNC CCT NNP_PMC
CC.* RB.* PR.* VB.* CC.* JJ.* CC.* NN.* CC.* VB.* PR.*_PM.*_PM.*,CCA RBF PRS VBS CCB JJD CCP NNC CCT VBOF PRO_PMP_PMS
VB.* CC.* NN.*_PM.*,VBW CCB NNC_PMC
VB.* DT.* NN.* CC.* JJ.* CC.* NN.* CC.* NN.* NN.* CC.* VB.* CC.* NN.* RB.* CC.* NN.* NN.* CC.* NN.* CC.* PR.*_PM.*,VBTS DTP NNP CCB JJD CCP NNC CCT NNP NNP CCP VBTR_VBAF CCB NNC RBL CCT NNP NNP CCT NNC CCP PRO_PMP
RB.* RB.* CC.* NN.*_PM.*,RBW_CCP RBW CCB NNP_PMC
DT.* NN.* CC.* JJ.* CC.* NN.* CC.* NN.* LM VB.* CC.* NN.* CC.* JJ.* CC.* NN.* CC.* NN.* CC.* VB.* CC.* NN.* CC.* VB.* DT.* NN.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* CC.* NN.*_PM.*,DTC NNC CCB JJD CCP NNC CCB NNP LM VBTS CCB NNC CCT JJD CCP NNC CCB NNP CCP VBTR_VBAF CCT NNP CCP VBOF DTC NNP NNP CCP NNC CCT DTCP NNC CCB NNP CCA NNP_PMC
CC.* VB.* NN.* CC.* NN.* CC.* PR.* NN.* CC.* NN.* PM.* NN.*_PM.*,CCA VBTS NNC CCT NNC CCT PRSP_CCP NNC CCB NNC PMS NNC_PMP
VB.* CC.* NN.*_PM.*,VBS CCB NNC_PMC
PM.*_ VB.* PR.* DT.* NN.* CC.* NN.* VB.* CC.* RB.* DT.* NN.* CC.* VB.* DT.* DT.* VB.* CC.* DT.* NN.* CC.* VB.* DT.* VB.* NN.* CC.* DT.* NN.* CC.*,PMS_ VBTR PRP DTC NNC CCB NNP VBAF CCB RBD_CCP DTCP NNC CCT VBOF DTC DTCP VBTS CCP DTCP NNC CCA VBOF DTC VBTS_CCP NNC CCB DTCP NNC CCB
NN.*__PM.*,NNPA__PMS
PM.*_ CC.* NN.* CC.* NN.* CC.* DT.* VB.* CC.* DT.* VB.* LM JJ.* NN.* CC.* NN.* CC.* NN.* CC.* VB.* LM CC.* JJ.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* CC.* NN.*_PM.*_PM.*,PMS_ CCT NNC CCT NNC CCA DTC VBW CCT DTCP VBTS LM JJD_CCP NNC CCB NNC CCB NNP CCA VBW LM CCB JJD CCP NNC CCA DTCP NNC CCB NNP CCB NNP_PMP_PMS
RB.* VB.* NN.*_PM.*,RBW_CCP VBTS_CCP NNP_PMC
VB.* CC.* JJ.* CC.* NN.* CC.* NN.* NN.* CC.* DT.* JJ.* CC.* FW CC.* VB.* CC.* NN.* CC.* NN.* NN.* CC.* VB.* DT.* PR.* CC.* NN.* CC.* VB.* CC.* PR.* CC.* VB.* PR.*_PM.*,VBTS CCB JJD CCP NNC CCB NNP NNP CCP DTC JJD CCP FW CCP VBTR CCB NNC CCP NNP NNP CCP VBOF DTC PRI CCB NNC CCP VBTS CCB PRI CCB VBTR_VBAF PRO_PMC
CC.* DT.* DT.* JJ.* FW CC.* NN.*_PM.*,CCB DTC DTCP JJD_CCP FW CCA NNP_PMP
DT.* NN.*_PM.*,DTC NNP_PMC
CC.* VB.* VB.* PM.* NN.* CC.* PR.* NN.* CC.* NN.* CC.*,CCP VBTS VBH PMS NNC CCB PRQ_CCP NNC CCB NNC CCT
NN.*_,NNPA_
JJ.* CC.* NN.* CC.* NN.*_PM.*,JJC CCB NNPA CCA NNP_PMC
LM VB.* CC.* PM.* CD.* NN.* NN.* CC.* NN.* RB.* PR.* NN.* CC.* VB.* CC.* VB.* JJ.* CC.* VB.* DT.* NN.* CC.* VB.* DT.* NN.* VB.* CC.* NN.* CC.* VB.* CC.* JJ.* CC.*,LM VBTS CCB PMS CDB NNC NNC CCB NNC RBW_CCP PRI_CCP NNC CCP VBTR CCP VBN_CCP JJD CCP VBTR DTC NNP CCT VBOF DTC NNC_CCP VBAF CCB NNC CCP VBTR_VBAF CCT JJD CCP
CD.* CC.* RB.* JJ.* FW CC.* VB.* CC.* JJ.*,CDB CCP RBF JJD_CCP FW CCP VBTS CCB JJCC
CD.* NN.* CC.* NN.*_PM.*,CDB NNC CCP NNC_PMP
VB.* CC.* NN.* CC.* CC.* CC.* PR.* LM VB.* CC.* DT.* NN.* CC.* NN.* VB.* LM JJ.* JJ.* JJ.* CC.* JJ.* DT.* NN.* CC.* DT.* VB.*_PM.*,VBTS CCB NNP CCP CCR CCT PRP LM VBTS CCP DTC NNC CCB NNC_CCP VBW LM JJCC JJD JJC CCT JJD_CCP DTCP NNC CCB DTCP VBTR_VBAF_PMC
VB.* PR.* CC.* NN.* CC.* NN.* CC.* VB.* DT.* NN.*_PM.*,VBTR PRP CCB NNC CCT NNC CCT VBOF DTC NNC_PMC
RB.* RB.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* NN.*_NN.*,RBK RBQ DTC NNP CCB NNP CCT NNP CCB NNPA NNP_NNPA
NN.* LM VB.* PM.* RB.* CC.* VB.* DT.* NN.* CC.* VB.* PR.* DT.* DT.* NN.* RB.* PR.*_PM.*,NNP LM VBAF PMS RBR CCA VBOF DTC NNP CCP VBOF PRI DTC DTCP NNC RBR PRL_PMP
VB.* DT.* NN.* CC.* VB.* PR.* LM VB.* NN.* CC.* DT.* NN.* CC.* VB.* JJ.*_PM.*,VBTS DTC NNP CCP VBS_CCP PRO LM VBW NNC CCB DTCP NNC CCT VBTR JJD_PMC
CC.* VB.* DT.* NN.* CC.* PR.* LM DT.* NN.* PM.* NN.* RB.*_PM.*,CCT VBS DTP NNP CCP PRO LM DTCP NNC PMS NNC RBI_PMP
DT.* NN.* NN.* NN.*_PM.*,DTC NNP NNP NNP_PMC
PR.* JJ.* NN.* CC.* NN.* CC.* VB.* NN.* CC.* NN.* NN.*_PM.*,PRI_CCP JJD_CCP NNC CCP NNC CCP VBTS NNC CCT NNP NNP_PMC
LM VB.* CC.* DT.* NN.* PR.* LM_PM.* PR.* CC.* PM.* NN.* CC.* DT.* NN.* CC.* VB.* JJ.*_PM.*,LM VBTS CCP DTC NNC_CCP PRO LM_PMS PRI_CCP CCR PMS NNC CCT DTCP NNC CCT VBTR JJD_PMC
CC.* VB.* DT.* NN.* CC.* VB.* RB.* RB.* DT.* VB.* PR.* CC.* NN.*_PM.*_PM.*,CCA VBOF DTC NNP CCP VBW RBK RBQ DTC VBTR PRS CCT NNP_PMP_PMS
VB.* CC.* VB.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* NN.*_PM.*,VBS CCB VBTR CCP NNC CCP NNC CCP DTP NNP NNP_PMP
VB.* RB.* CC.* NN.* CC.* DT.* NN.* CC.* VB.* CC.* VB.* CC.* DT.* JJ.* NN.* CC.* CC.* PR.* NN.* CC.* RB.* VB.* PR.* CC.* VB.* NN.* CC.* DT.* NN.* CC.* NN.* CC.* VB.* CC.* DT.* NN.* LM VB.* CC.* NN.* RB.* CC.* DT.* NN.* CC.* DT.* RB.* PM.* CC.*_PM.* FW NN.*_PM.*,VBOF RBI CCB NNP CCP DTC NNC CCP VBTR CCT VBW CCB DTCP JJD_CCP NNC CCT CCT PRI NNC CCA RBW VBW PRP CCT VBTS_CCP NNC CCB DTCP NNC CCB NNP CCB VBW CCR DTC NNP LM VBTR_VBAF CCB NNC RBL CCT DTCP NNC CCB DTCP RBF PMS CCT_PMS FW NNC_PMC
CC.* DT.* DT.* NN.* PR.* LM VB.* CC.* NN.*_PM.*,CCT DTC DTCP NNC_CCP PRO LM VBOF CCB NNC_PMC
CC.* NN.* CC.* DT.* DT.* NN.* CC.* NN.* CC.* NN.* LM JJ.* JJ.*_PM.*,CCT NNC CCP DTC DTCP NNC CCA NNC CCT NNC LM JJCS_CCP JJD_PMP
VB.* DT.* NN.* CC.* DT.* NN.* LM VB.* CC.* NN.* NN.* NN.* NN.* CC.* VB.* CC.* NN.* VB.* CC.* NN.* CC.* RB.* VB.* CC.* RB.* VB.* DT.* VB.* PM.* NN.* VB.* CC.* NN.*_PM.*,VBH DTCP NNC CCP DTC NNP LM VBTR_VBAF CCT NNP NNP NNP NNP CCP VBTR CCT NNC_CCP VBTR CCB NNC CCP RBF VBW CCR RBM VBOF DTC VBTS_CCP PMS NNC_CCP VBW CCP NNC_PMP
VB.* CC.* PR.* NN.*_PM.*,VBW CCB PRI_CCP NNC_PMC
DT.* NN.* CC.* NN.* CC.* NN.* LM VB.* DT.* NN.* CC.* VB.* DT.* JJ.* NN.* CC.* NN.*_PM.*,DTC NNC CCB NNP CCA NNP LM VBTS DTC NNC CCT VBOF DTC JJD_CCP NNP CCB NNP_PMP
RB.* JJ.* CC.* PR.* DT.* NN.* NN.* JJ.* CC.* NN.*_PM.*,RBF JJC CCB PRI_CCP DTCP NNC_CCP NNP JJC CCB NNP_PMC
NN.* CC.* NN.*_PM.*,NNP CCA NNP_PMC
VB.* CC.* NN.* DT.* NN.* RB.* RB.* NN.*_PM.*,VBTS CCB NNP DTC NNC RBD RBF NNC_PMP
PM.*_ PR.* LM JJ.* RB.* DT.* NN.* CC.* RB.* VB.* JJ.* CC.* NN.* RB.* CC.* NN.* PR.* CC.* VB.* CC.* NN.* CC.* NN.*_PM.*,PMS_ PRS LM JJD RBI DTC NNP CCA RBM VBW JJD CCP NNC RBL CCT NNC_CCP PRO CCT VBAF CCT NNP CCB NNP_PMC
VB.* CC.* NN.*_PM.*,VBW CCB NNP_PMC
NN.* CC.* NN.*_PM.*,NNP CCA NNP_PMC
CC.* RB.* NN.* RB.*_PM.*_PM.*,CCP RBL NNC RBI_PMC_PMS
VB.* DT.* NN.* NN.* NN.* NN.*_PM.*,VBS DTP NNP NNP NNP NNP_PMC
CC.* PR.* VB.* CC.* NN.* CC.* NN.*_PM.*,CCP PRS_CCP VBTS CCB NNC CCB NNP_PMP
VB.* RB.* RB.* CC.* DT.* NN.* LM VB.* CC.* NN.* NN.* CC.* NN.*_PM.*,VBTS RBI RBI CCP DTC NNP LM VBTF CCT NNP NNP CCT NNP_PMP
DT.* NN.*_PM.*,DTC NNC_PMC
CC.* VB.*,CCP VBH
CD.* PM.* CC.* NN.* CC.* NN.*_PM.*,CDB PMS CCP NNC CCB NNC_PMC
LM VB.* CC.*,LM VBTS CCB
CD.* PM.* CC.* NN.* PM.* RB.* CC.* CC.* NN.*_PM.*,CDB PMS CCP NNC PMS RBR CCT CCT NNC_PMC
CC.* VB.* CC.* RB.* VB.* CC.* CD.* PM.* CC.* NN.* CC.* NN.* CC.* NN.*_PM.*,CCP VBTR_VBAF CCT RBF VBTF CCT CDB PMS CCP NNC CCB NNP CCB NNP_PMP
CC.* VB.* NN.*,CCP VBH NNC_CCP
CD.*_PM.*,CDB_PMC
DT.* NN.* LM DT.* JJ.* NN.* CC.* NN.*_PM.*,DTC NNP LM DTC JJCS_JJD_CCP NNC CCT NNC_PMP
DT.* NN.* LM VB.* PM.* NN.* VB.* CC.* NN.*_PM.*,DTC NNP LM VBTS PMS NNC_CCP VBAF CCT NNC_PMC
CC.* DT.* VB.* CC.* NN.* CC.* NN.*_PM.*,CCA DTC VBRF CCB NNP CCB NNP_PMP
CC.* CC.* CC.* DT.* VB.*_PM.*,CCT CCT CCB DTCP VBTR_PMC
VB.* DT.* NN.* RB.* RB.* PR.*_PM.*,VBN_CCP DTCP NNC RBW_CCP RBW_CCP PRO_PMSC
PR.* RB.* RB.*_PM.*,PRC RBI RBI_PMC
JJ.* NN.* DT.* VB.* CC.* NN.* NN.* RB.* CC.* VB.* NN.*_PM.*,JJD_CCP NNC DTC VBTS CCT NNC_CCP NNP RBR CCT VBTR_CCP NNC_PMP
PR.* DT.* JJ.* NN.* CC.* DT.* NN.* LM VB.* JJ.* RB.* CD.*_PM.*,PRO DTC JJN_CCP NNC CCP DTC NNP LM VBTS JJD RBW CDB_PMC
RB.* PR.* LM VB.* NN.* CC.* NN.* PM.* NN.*_PM.*,RBW_CCP PRO LM VBTS NNC CCB NNP PMS NNP_PMP
CC.* JJ.* NN.* DT.* NN.*_PM.*,CCT JJD_CCP NNC DTC NNP_PMC
NN.*_PM.*,NNP_PMC
CC.* NN.* LM VB.* VB.* DT.*_PM.* NN.* CC.* DT.* NN.*_PM.*,CCA NNP LM VBTR_CCP VBOF DTC_PMS NNC CCB DTCP NNP_PMC
NN.* CC.* NN.*_PM.*_PM.*,NNP CCA NNP_PMS_PMC
CC.* CC.* RB.* LM VB.* DT.* NN.* CC.* NN.* CC.* NN.*_PM.*,CCP CCT RBW LM VBOF DTC NNC CCT NNP CCB NNP_PMP
RB.* CD.* CC.* CD.* DT.* JJ.* CC.* JJ.* CC.* NN.* CC.* NN.* DT.* VB.* CC.* NN.* CC.* CD.*_PM.*,RBW_CCP CDB CCA CDB DTC JJN CCT JJN CCP NNC CCB NNP DTC VBTS CCB NNC CCT CDB_PMC
NN.* CC.* NN.*_PM.*,NNP CCA NNP_PMC
DT.* VB.* VB.*_PM.*,DTC VBTS_CCP VBAF_PMP
PR.* DT.* FW LM VB.* CC.* DT.* NN.* CC.* NN.* LM RB.* VB.* CC.* PR.* NN.* RB.* RB.* VB.* DT.* NN.* NN.*_PM.*,PRQ_CCP DTCP FW LM VBTS CCP DTC NNP CCA NNP LM RBF VBTS CCT PRI_CCP NNC RBW RBW_CCP VBTS DTC NNC_CCP NNP_PMC
JJ.* NN.* CC.* DT.* VB.*_PM.*,JJN_CCP NNC CCP DTC VBAF_PMP
DT.* PR.* NN.* LM VB.* JJ.* CC.* DT.* NN.*_PM.*,DTC PRI NNC LM VBH_CCP JJD CCP DTCP NNC_PMC
NN.*_PM.*,NNC_PMC
CC.* DT.* NN.* CC.* DT.* PR.* VB.* NN.* LM RB.* VB.* RB.* JJ.*_PM.*,CCA DTCP NNC CCA DTC PRSP_CCP VBAF_CCP NNC LM RBF VBTR RBW JJCS_JJD_PMP
DT.* NN.* NN.* LM VB.* CC.* JJ.* VB.* CC.* VB.* DT.* NN.* NN.* CC.* JJ.* NN.* NN.* CC.* NN.* NN.* RB.* CC.* DT.* NN.* NN.* CC.* VB.* PR.* RB.* LM VB.* CC.* NN.* CC.* NN.*_PM.*,DTP NNP NNP LM VBAF CCT JJD_CCP VBTR CCP VBAF DTP NNP NNP CCT JJD_CCP NNC_CCP NNC CCT NNP NNP RBW CCP DTP NNP NNP CCP VBTS_VBOF PRS RBT LM VBTF CCT NNC CCB NNC_PMP
DT.* VB.* NN.* CC.* NN.* LM VB.* RB.* VB.* CC.* VB.* CC.* CC.* NN.* CC.* VB.* PR.* VB.* JJ.* CC.* PR.* LM RB.* RB.* JJ.* PR.*_PM.*,DTC VBTS_CCP NNC CCB NNP LM VBTS RBD_CCP VBTS CCT VBTR CCT CCT NNC CCT VBW PRS_CCP VBOF JJD CCP PRS LM RBF RBI JJD PRL_PMC
VB.* JJ.* VB.* DT.* NN.*_PM.*,VBTS JJD_CCP VBTR DTP NNP_PMP
DT.* NN.*_PM.*,DTC NNP_PMC
CC.* NN.*_PM.* FW VB.* CC.* NN.* NN.*_PM.*,CCP NNC_PMS FW VBTS CCT NNP NNP_PMC
NN.* NN.*_PM.*,NNPA NNP_PMC
NN.* CC.* NN.*_PM.*,NNP CCA NNP_PMC
LM VB.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* PR.* NN.* RB.* CC.* DT.* FW CC.* JJ.* CC.* PR.* CC.* JJ.* CC.* DT.* JJ.* CC.* NN.*_PM.*,LM VBTR DTC NNC CCB NNP CCT NNC CCB PRSP_CCP NNC RBR CCT DTCP FW CCP JJD CCT PRSP CCA JJD CCT DTCP JJD CCP NNC_PMP
DT.* PR.* DT.* NN.* CC.* CC.* NN.* LM CC.* DT.* PR.* NN.* CC.* DT.* NN.* NN.*_PM.*,DTC PRI_CCP DTCP NNC CCT CCT NNC LM CCB DTC PRI NNP CCP DTP NNP NNP_PMC
JJ.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* CC.* NN.* CC.* NN.* NN.* CC.* DT.* NN.* NN.*_PM.* NN.*_PM.*,JJD_CCP NNP CCP NNC CCP DTP NNP NNP CCA NNC CCB NNP NNP CCP DTP NNP NNP_PMS NNP_PMP
CC.* RB.* RB.* VB.* RB.* RB.* JJ.* NN.* CC.* NN.*_PM.*,CCT RBK RBQ_CCP VBTR RBW_CCP RBF JJD_CCP NNC CCT NNP_PMC
DT.* CD.* CC.* DT.* NN.* LM RB.* VB.* CC.* RB.* CC.* JJ.* NN.*_PM.*,DTC CDB CCP DTCP NNC LM RBD_CCP VBAF CCT RBW CCB JJD_CCP NNC_PMP
RB.* CD.*_PM.*,RBW_CCP CDB_PMC
VB.* PM.* VB.* CC.* CD.* CC.* DT.* NN.* PR.* NN.* DT.* VB.* CC.* NN.* CC.* NN.*_PM.*,VBTF_VBAF PMS VBAF CCP CDB CCP DTCP NNC PRI NNC DTC VBTR CCT NNC CCB NNP_PMP
VB.* CD.* CC.* NN.* PR.* NN.* CC.* NN.* CC.* DT.* NN.* RB.* PM.* NN.*_PM.*,VBH_CCP CDB CCP NNC PRI NNC CCT NNC CCA DTCP NNC_CCP RBI_CCP PMS NNC_PMP
JJ.*,JJD
CD.* CC.* DT.* NN.* CC.* NN.* DT.* VB.* CC.* DT.* NN.* CC.* DT.* NN.*_PM.*,CDB CCP DTCP NNC CCB NNC DTC VBTS CCT DTCP NNC CCT DTCP NNC_PMP
CC.* JJ.* CC.* VB.* CC.* DT.* NN.*_PM.*,CCT JJN CCP VBTR CCP DTCP NNC_PMC
DT.* DT.* NN.* DT.* JJ.* VB.* CC.* NN.* CC.* NN.* CC.* NN.* RB.* RB.* NN.*_PM.*,DTC DTCP NNC DTC JJCS_CCP VBTS CCT NNC CCB NNC CCB NNP RBW RBW_CCP NNP_PMP
DT.* NN.* LM VB.* CC.* JJ.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* CC.* DT.* PR.* NN.*_PM.*,DTC NNC LM VBTS CCB JJD CCP NNC CCT DTCP NNC CCP NNC CCT DTCP PRI_CCP NNC_PMP
DT.* JJ.* RB.* PM.* VB.* CC.* NN.*_PM.*,DTC JJD_CCP RBI_CCP PMS VBTF CCB NNP_PMC
CC.* DT.* NN.* NN.* LM VB.* NN.* CC.* PR.* NN.* VB.* RB.* NN.*_PM.*,CCP DTP NNP NNP LM VBTS_CCP NNC CCT PRSP_CCP NNC VBAF RBW_CCP NNP_PMP
DT.* NN.* CC.* NN.* LM VB.* CC.* VB.*_PM.* NN.*_PM.* CC.* JJ.* CC.* DT.* NN.* LM VB.* RB.* CC.* NN.* CC.* NN.* NN.* CC.* NN.*_PM.*,DTC NNC CCB NNP LM VBTS CCP VBN_CCP_PMS NNC_PMS CCP JJD CCA DTC NNC LM VBTR_VBAF RBI CCT NNC CCB NNC NNC CCT NNC_PMP
VB.* CC.* NN.*_PM.*,VBW CCB NNC_PMC
DT.* NN.* CC.* NN.* LM VB.* CC.* VB.* CC.* NN.*_PM.*,DTC NNC CCB NNC LM VBAF CCA VBOF CCB NNC_PMS
PM.*_ NN.* RB.* PR.* CC.* JJ.* CC.* NN.* CC.* FW FW FW_PM.*_PM.*,PMS_ NNP RBI PRP CCB JJCS_JJD CCP NNC CCT FW FW FW_PMP_PMS
DT.* NN.* LM VB.* CC.* NN.* RB.* JJ.* NN.* CC.* CD.*_PM.* NN.* VB.* VB.* PM.* NN.* CC.* DT.* NN.*_PM.*,DTP NNP LM VBAF CCT NNP RBW_CCP JJN_CCP NNC CCB CDB_PMS NNCA VBW VBW PMS NNC CCB DTC NNC_PMC
NN.* CC.* NN.* CC.* DT.* NN.* DT.* NN.* NN.*_PM.*,NNC CCB NNC CCA DTC NNC_CCP DTP NNP NNP_PMP
DT.* PR.* JJ.* NN.*_PM.*,DTC PRSP_CCP JJN_CCP NNC_PMC
CC.* VB.* DT.* NN.*_PM.*,CCP VBTS DTC NNC_PMC
LM PR.* JJ.* NN.*_PM.*,LM PRI_CCP JJD_CCP NNC_PMP
DT.* NN.* LM VB.* CC.* DT.* FW PR.* JJ.* CC.*_PM.* NN.* NN.*_PM.* CC.*_PM.* NN.* FW FW FW_PM.*_PM.*,DTC NNC LM VBTS CCB DTCP FW PRL JJC CCB_PMS NNP NNP_PMS CCA_PMS NNP FW FW FW_PMP_PMS
VB.* DT.* NN.* DT.* NN.* RB.* CD.*_PM.*,VBOF DTP NNP DTC NNC RBW_CCP CDB_PMC
CC.* VB.* DT.* NN.* NN.*_PM.*,CCA VBTS DTP NNP NNP_PMP
RB.* VB.* DT.* NN.* CC.* NN.* CC.* RB.* CC.* CC.* NN.* NN.* NN.*_PM.*,RBW_CCP VBAF DTP NNP CCT NNC CCT RBW CCT CCT NNP NNP NNP_PMC
CC.* VB.* DT.* DT.* NN.* NN.* DT.* NN.*_PM.*,CCA VBTS DTC DTCP NNC_CCP NNC DTP NNP_PMP
DT.* JJ.* NN.* CC.* DT.* NN.* CC.* VB.* LM VB.* CC.* VB.* CC.* NN.*_PM.*,DTC JJD_CCP NNC CCB DTP NNP CCP VBTR_VBAF LM VBTS CCP VBTS CCT NNC_PMC
CC.* VB.* NN.* CC.* NN.* DT.* RB.* LM VB.*_PM.*,CCT VBN_CCP NNC CCB NNC DTC RBW LM VBTS_PMP
CC.* JJ.* CC.* RB.* CC.* DT.* NN.* CC.* DT.* NN.* CC.* NN.*_PM.*,CCT JJD CCB RBD CCP DTCP NNC CCB DTCP NNP CCT NNP_PMC
CC.* VB.* NN.* CC.* NN.* CC.* VB.* CC.* CD.* CC.* VB.* PR.*,CCP VBH NNC CCP NNC CCP VBAF CCT CDB CCP VBH PRI_CCP
CD.* CC.* NN.* JJ.*_PM.*,CDB CCP NNC_CCP JJD_PMC
DT.* DT.* NN.* CC.* NN.* CC.* NN.* LM RB.* VB.* CC.* DT.* DT.* NN.* CC.* NN.* LM VB.* CC.* PR.* JJ.* CC.* NN.* CC.* NN.*_PM.*,DTC DTCP NNC CCB NNC CCB NNPA LM RBW_CCP VBTS CCP DTC DTCP NNC CCB NNP LM VBTR_VBAF CCT PRI_CCP JJD CCP NNC CCP NNC_PMP
PM.*_ DT.* RB.* NN.* CC.* NN.* LM VB.*_PM.*,PMS_ DTC RBW_CCP NNC CCT NNP LM VBTS_PMC
CC.* PR.* JJ.* NN.* LM VB.* RB.* CC.* NN.*_PM.*_PM.*,CCA PRI_CCP JJD_CCP NNC LM VBN RBI CCT NNC_PMC_PMS
VB.* DT.* NN.* FW NN.*_PM.*,VBTS DTP NNP FW NNP_PMC
CC.* NN.* CC.* NN.* NN.* NN.* NN.* NN.* NN.* CC.* NN.* CC.* NN.*_PM.*,CCP NNC CCB NNP NNP NNP NNPA NNPA NNPA CCT NNC CCB NNP_PMC
CC.* PR.* NN.* CC.* VB.* RB.* NN.*_PM.*,CCT PRI_CCP NNC CCB VBTS RBW_CCP NNP_PMP
PM.*_ PR.*,PMS_ PRO_CCP
LM PR.* CC.* JJ.* CC.* JJ.* CC.* JJ.* CC.* RB.* RB.* CC.* RB.* VB.*_PM.*_PM.*,LM PRI CCT JJCS_JJD CCA JJCS_JJD CCP JJD CCB RBW RBI CCP RBF VBW_PMC_PMS
VB.* PR.*_PM.*,VBTS PRS_PMP
DT.* DT.* NN.* CC.* NN.* DT.* VB.* CC.* VB.* PR.* VB.* CC.* NN.* CC.*,DTC DTCP NNC CCB NNPA DTC VBTS CCP VBTS PRP_CCP VBW CCB NNC CCT
CD.* CC.* JJ.* DT.* NN.*_PM.*,CDB CCP JJD_CCP DTCP NNC_PMC
DT.* NN.* CC.* VB.* CC.* JJ.* RB.* NN.* CC.* DT.* NN.* CC.* JJ.* CC.* CC.* NN.* VB.* CC.* JJ.* NN.* NN.* VB.* CC.* NN.*_PM.*,DTC NNC CCP VBTS CCT JJCS_JJD_CCP RBW NNC CCB DTCP NNC CCP JJD CCT CCT NNC VBW CCB JJN_CCP NNC_CCP NNP_CCP VBW CCT NNP_PMC
DT.* JJ.* RB.* CC.* VB.* RB.* JJ.* NN.* CC.* NN.*_PM.*,DTC JJCS RBW CCP VBOF RBW_CCP JJN_CCP NNC CCB NNP_PMP
DT.* NN.*_PM.*,DTC NNC_PMC
VB.* NN.* NN.* CC.* CC.* JJ.* CC.* DT.* NN.* CC.* NN.*_PM.*,VBN_CCP NNC_CCP NNC CCT CCT JJD CCP DTCP NNC CCB NNP_PMC
LM VB.* CC.* NN.* CC.* NN.* NN.* CC.* PR.*_PM.* NN.* CC.* JJ.* JJ.* NN.*_PM.*_PM.*,LM VBTS CCB NNP CCB NNP_CCP NNP CCT PRI_CCP_PMS NNC CCT JJD_CCP JJD_CCP NNC_PMP_PMS
VB.* CC.* DT.* VB.* CC.* DT.* NN.* CC.* NN.* CC.* PR.* LM RB.* CC.* VB.* RB.* CC.* DT.* DT.* JJ.* DT.* VB.* JJ.* CC.* VB.* JJ.* CC.* VB.* CC.* NN.* VB.* CC.* JJ.* DT.* NN.*_PM.*,VBTS CCB DTCP VBTR CCP DTCP NNC CCB NNP CCP PRP LM RBD CCP VBN RBW CCT DTC DTCP JJCS_JJD_CCP DTCP VBS JJD CCA VBH_CCP JJD CCT VBN CCB NNC_CCP VBW CCT JJD_CCP DTCP NNC_PMP
CC.* NN.*_PM.*,CCT NNC_PMC
DT.* JJ.* NN.* CC.* NN.* LM VB.* CC.* NN.* RB.* NN.* CC.* VB.* CC.* JJ.* NN.* CC.* DT.* VB.* CC.* CC.* CC.* DT.* NN.* CC.* DT.* NN.* CC.* DT.* NN.* CC.* PR.* NN.*_PM.*,DTC JJD_CCP NNC CCB NNP LM VBAF CCT NNP RBW_CCP NNP CCP VBTS CCB JJD_CCP NNC CCT DTCP VBTS CCA CCT CCT DTCP NNC CCT DTCP NNC CCA DTCP NNC CCT PRSP_CCP NNC_PMP
RB.* VB.* DT.* JJ.* NN.* CC.* NN.*_PM.*,RBW VBTR_VBAF DTC JJD_CCP NNC CCT NNC_PMC
DT.* DT.* NN.* LM RB.* VB.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PR.* CC.* NN.*_PM.*,DTC DTCP NNP LM RBD_CCP VBOF DTC NNC CCT NNC CCB NNC CCT NNC PRP CCB NNP_PMC
PR.* NN.* CC.* VB.* CC.* NN.* NN.* RB.* NN.* CC.* VB.* CC.* VB.* RB.* RB.* RB.* VB.* CC.* DT.* NN.* NN.* DT.* PR.* DT.* NN.* CC.* VB.* DT.* DT.* NN.* CC.* VB.* VB.* VB.* CC.* NN.*_PM.*,PRI_CCP NNC CCP VBOF CCB NNP_CCP NNC RBW_CCP NNP CCA VBTR CCP VBOF RBW RBW RBW VBTR CCB DTCP NNP_CCP NNC DTC PRSP_CCP DTCP NNC CCP VBOF DTC DTCP NNP CCP VBTR_VBAF VBAF VBTF CCT NNP_PMP
DT.* NN.* NN.*_PM.*,DTP NNP NNP_PMC
DT.* NN.* CC.* NN.* CC.* JJ.* NN.*_PM.*,DTC NNC CCP NNC CCB JJD_CCP NNC_PMC
LM VB.* DT.* RB.* CC.* VB.* CC.* NN.* CC.*_PM.* PR.* NN.* NN.*_PM.*_PM.*,LM VBTS DTC RBD CCP VBW CCT NNP CCT_PMS PRI_CCP NNP_CCP NNC_PMP_PMS
